date,value
1994-01-31,101.82
1994-02-28,103.66
1994-03-31,105.55
1994-04-30,107.46
1994-05-31,109.41
1994-06-30,111.40
1994-07-31,113.42
1994-08-31,115.48
1994-09-30,117.58
1994-10-31,119.71
1994-11-30,121.89
1994-12-31,124.10
1995-01-31,125.74
1995-02-28,127.41
1995-03-31,129.10
1995-04-30,130.80
1995-05-31,132.54
1995-06-30,134.29
1995-07-31,136.07
1995-08-31,137.87
1995-09-30,139.70
1995-10-31,141.55
1995-11-30,143.42
1995-12-31,145.32
1996-01-31,146.29
1996-02-29,147.27
1996-03-31,148.25
1996-04-30,149.24
1996-05-31,150.23
1996-06-30,151.23
1996-07-31,152.24
1996-08-31,153.25
1996-09-30,154.28
1996-10-31,155.31
1996-11-30,156.34
1996-12-31,157.38
1997-01-31,157.75
1997-02-28,158.11
1997-03-31,158.47
1997-04-30,158.84
1997-05-31,159.20
1997-06-30,159.57
1997-07-31,159.94
1997-08-31,160.31
1997-09-30,160.68
1997-10-31,161.05
1997-11-30,161.42
1997-12-31,161.79
1998-01-31,161.68
1998-02-28,161.57
1998-03-31,161.46
1998-04-30,161.36
1998-05-31,161.25
1998-06-30,161.14
1998-07-31,161.03
1998-08-31,160.93
1998-09-30,160.82
1998-10-31,160.71
1998-11-30,160.60
1998-12-31,160.50
1999-01-31,160.31
1999-02-28,160.12
1999-03-31,159.93
1999-04-30,159.74
1999-05-31,159.56
1999-06-30,159.37
1999-07-31,159.18
1999-08-31,158.99
1999-09-30,158.81
1999-10-31,158.62
1999-11-30,158.43
1999-12-31,158.25
2000-01-31,158.30
2000-02-29,158.35
2000-03-31,158.41
2000-04-30,158.46
2000-05-31,158.51
2000-06-30,158.56
2000-07-31,158.62
2000-08-31,158.67
2000-09-30,158.72
2000-10-31,158.78
2000-11-30,158.83
2000-12-31,158.88
2001-01-31,158.97
2001-02-28,159.07
2001-03-31,159.16
2001-04-30,159.25
2001-05-31,159.34
2001-06-30,159.44
2001-07-31,159.53
2001-08-31,159.62
2001-09-30,159.71
2001-10-31,159.81
2001-11-30,159.90
2001-12-31,159.99
2002-01-31,159.89
2002-02-28,159.78
2002-03-31,159.67
2002-04-30,159.57
2002-05-31,159.46
2002-06-30,159.35
2002-07-31,159.25
2002-08-31,159.14
2002-09-30,159.03
2002-10-31,158.93
2002-11-30,158.82
2002-12-31,158.71
2003-01-31,158.87
2003-02-28,159.03
2003-03-31,159.19
2003-04-30,159.35
2003-05-31,159.50
2003-06-30,159.66
2003-07-31,159.82
2003-08-31,159.98
2003-09-30,160.14
2003-10-31,160.30
2003-11-30,160.46
2003-12-31,160.62
2004-01-31,161.13
2004-02-29,161.65
2004-03-31,162.16
2004-04-30,162.68
2004-05-31,163.20
2004-06-30,163.72
2004-07-31,164.24
2004-08-31,164.77
2004-09-30,165.29
2004-10-31,165.82
2004-11-30,166.35
2004-12-31,166.88
2005-01-31,167.13
2005-02-28,167.38
2005-03-31,167.63
2005-04-30,167.88
2005-05-31,168.13
2005-06-30,168.38
2005-07-31,168.63
2005-08-31,168.88
2005-09-30,169.13
2005-10-31,169.38
2005-11-30,169.63
2005-12-31,169.89
2006-01-31,170.10
2006-02-28,170.31
2006-03-31,170.52
2006-04-30,170.73
2006-05-31,170.94
2006-06-30,171.16
2006-07-31,171.37
2006-08-31,171.58
2006-09-30,171.79
2006-10-31,172.01
2006-11-30,172.22
2006-12-31,172.43
2007-01-31,173.11
2007-02-28,173.79
2007-03-31,174.47
2007-04-30,175.15
2007-05-31,175.84
2007-06-30,176.52
2007-07-31,177.22
2007-08-31,177.91
2007-09-30,178.61
2007-10-31,179.30
2007-11-30,180.01
2007-12-31,180.71
2008-01-31,181.58
2008-02-29,182.45
2008-03-31,183.32
2008-04-30,184.20
2008-05-31,185.08
2008-06-30,185.97
2008-07-31,186.86
2008-08-31,187.75
2008-09-30,188.65
2008-10-31,189.55
2008-11-30,190.46
2008-12-31,191.37
2009-01-31,191.26
2009-02-28,191.15
2009-03-31,191.04
2009-04-30,190.93
2009-05-31,190.81
2009-06-30,190.70
2009-07-31,190.59
2009-08-31,190.48
2009-09-30,190.37
2009-10-31,190.26
2009-11-30,190.14
2009-12-31,190.03
2010-01-31,190.55
2010-02-28,191.06
2010-03-31,191.58
2010-04-30,192.10
2010-05-31,192.62
2010-06-30,193.14
2010-07-31,193.67
2010-08-31,194.19
2010-09-30,194.72
2010-10-31,195.25
2010-11-30,195.77
2010-12-31,196.30
2011-01-31,197.17
2011-02-28,198.03
2011-03-31,198.90
2011-04-30,199.78
2011-05-31,200.65
2011-06-30,201.54
2011-07-31,202.42
2011-08-31,203.31
2011-09-30,204.20
2011-10-31,205.10
2011-11-30,206.00
2011-12-31,206.91
2012-01-31,207.35
2012-02-29,207.79
2012-03-31,208.24
2012-04-30,208.68
2012-05-31,209.13
2012-06-30,209.58
2012-07-31,210.03
2012-08-31,210.48
2012-09-30,210.93
2012-10-31,211.38
2012-11-30,211.83
2012-12-31,212.28
2013-01-31,212.74
2013-02-28,213.19
2013-03-31,213.65
2013-04-30,214.11
2013-05-31,214.57
2013-06-30,215.03
2013-07-31,215.49
2013-08-31,215.95
2013-09-30,216.41
2013-10-31,216.87
2013-11-30,217.34
2013-12-31,217.80
2014-01-31,218.16
2014-02-28,218.52
2014-03-31,218.88
2014-04-30,219.25
2014-05-31,219.61
2014-06-30,219.97
2014-07-31,220.33
2014-08-31,220.70
2014-09-30,221.06
2014-10-31,221.43
2014-11-30,221.79
2014-12-31,222.16
2015-01-31,222.42
2015-02-28,222.68
2015-03-31,222.93
2015-04-30,223.19
2015-05-31,223.45
