date,value
1997-01-31,100.14
1997-02-28,100.28
1997-03-31,100.42
1997-04-30,100.56
1997-05-31,100.70
1997-06-30,100.85
1997-07-31,100.99
1997-08-31,101.13
1997-09-30,101.27
1997-10-31,101.41
1997-11-30,101.56
1997-12-31,101.70
1998-01-31,101.80
1998-02-28,101.90
1998-03-31,102.00
1998-04-30,102.11
1998-05-31,102.21
1998-06-30,102.31
1998-07-31,102.41
1998-08-31,102.51
1998-09-30,102.61
1998-10-31,102.72
1998-11-30,102.82
1998-12-31,102.92
1999-01-31,103.02
1999-02-28,103.13
1999-03-31,103.23
1999-04-30,103.33
1999-05-31,103.43
1999-06-30,103.54
1999-07-31,103.64
1999-08-31,103.74
1999-09-30,103.85
1999-10-31,103.95
1999-11-30,104.05
1999-12-31,104.16
2000-01-31,104.34
2000-02-29,104.52
2000-03-31,104.70
2000-04-30,104.88
2000-05-31,105.06
2000-06-30,105.24
2000-07-31,105.43
2000-08-31,105.61
2000-09-30,105.79
2000-10-31,105.98
2000-11-30,106.16
2000-12-31,106.34
2001-01-31,106.55
2001-02-28,106.76
2001-03-31,106.98
2001-04-30,107.19
2001-05-31,107.40
2001-06-30,107.61
2001-07-31,107.82
2001-08-31,108.04
2001-09-30,108.25
2001-10-31,108.47
2001-11-30,108.68
2001-12-31,108.89
2002-01-31,109.10
2002-02-28,109.31
2002-03-31,109.52
2002-04-30,109.72
2002-05-31,109.93
2002-06-30,110.14
2002-07-31,110.35
2002-08-31,110.56
2002-09-30,110.77
2002-10-31,110.98
2002-11-30,111.19
2002-12-31,111.40
2003-01-31,111.59
2003-02-28,111.79
2003-03-31,111.98
2003-04-30,112.17
2003-05-31,112.37
2003-06-30,112.56
2003-07-31,112.76
2003-08-31,112.95
2003-09-30,113.15
2003-10-31,113.35
2003-11-30,113.54
2003-12-31,113.74
2004-01-31,113.94
2004-02-29,114.13
2004-03-31,114.33
2004-04-30,114.53
2004-05-31,114.73
2004-06-30,114.93
2004-07-31,115.13
2004-08-31,115.33
2004-09-30,115.53
2004-10-31,115.73
2004-11-30,115.93
2004-12-31,116.13
2005-01-31,116.34
2005-02-28,116.55
2005-03-31,116.76
2005-04-30,116.97
2005-05-31,117.19
2005-06-30,117.40
2005-07-31,117.61
2005-08-31,117.82
2005-09-30,118.04
2005-10-31,118.25
