date,value
1988-01-31,100.40
1988-02-29,100.80
1988-03-31,101.20
1988-04-30,101.61
1988-05-31,102.01
1988-06-30,102.42
1988-07-31,102.83
1988-08-31,103.24
1988-09-30,103.65
1988-10-31,104.07
1988-11-30,104.48
1988-12-31,104.90
1989-01-31,105.56
1989-02-28,106.22
1989-03-31,106.89
1989-04-30,107.56
1989-05-31,108.23
1989-06-30,108.91
1989-07-31,109.60
1989-08-31,110.29
1989-09-30,110.98
1989-10-31,111.68
1989-11-30,112.38
1989-12-31,113.08
1990-01-31,113.94
1990-02-28,114.81
1990-03-31,115.68
1990-04-30,116.56
1990-05-31,117.44
1990-06-30,118.33
1990-07-31,119.23
1990-08-31,120.14
1990-09-30,121.05
1990-10-31,121.97
1990-11-30,122.89
1990-12-31,123.83
1991-01-31,124.42
1991-02-28,125.01
1991-03-31,125.61
1991-04-30,126.21
1991-05-31,126.82
1991-06-30,127.43
1991-07-31,128.04
1991-08-31,128.65
1991-09-30,129.26
1991-10-31,129.88
1991-11-30,130.51
1991-12-31,131.13
1992-01-31,131.53
1992-02-29,131.93
1992-03-31,132.33
1992-04-30,132.73
1992-05-31,133.13
1992-06-30,133.53
1992-07-31,133.94
1992-08-31,134.35
1992-09-30,134.75
1992-10-31,135.16
1992-11-30,135.57
1992-12-31,135.98
1993-01-31,136.16
1993-02-28,136.34
1993-03-31,136.52
1993-04-30,136.70
1993-05-31,136.88
1993-06-30,137.07
1993-07-31,137.25
1993-08-31,137.43
1993-09-30,137.61
1993-10-31,137.79
1993-11-30,137.98
1993-12-31,138.16
1994-01-31,138.44
1994-02-28,138.73
1994-03-31,139.01
1994-04-30,139.30
1994-05-31,139.59
1994-06-30,139.87
1994-07-31,140.16
1994-08-31,140.45
1994-09-30,140.74
1994-10-31,141.03
1994-11-30,141.32
1994-12-31,141.61
1995-01-31,142.01
1995-02-28,142.40
1995-03-31,142.80
1995-04-30,143.20
1995-05-31,143.60
1995-06-30,144.00
1995-07-31,144.40
1995-08-31,144.80
1995-09-30,145.21
1995-10-31,145.61
1995-11-30,146.02
1995-12-31,146.43
1996-01-31,146.73
