date,price
1871-02-28,0.0911
1871-03-31,0.0915
1871-04-30,0.0918
1871-05-31,0.0922
1871-06-30,0.0926
1871-07-31,0.093
1871-08-31,0.0934
1871-09-30,0.0938
1871-10-31,0.0942
1871-11-30,0.0946
1871-12-31,0.095
1872-01-31,0.0953
1872-02-29,0.0956
1872-03-31,0.0958
1872-04-30,0.0961
1872-05-31,0.0964
1872-06-30,0.0967
1872-07-31,0.0971
1872-08-31,0.0974
1872-09-30,0.0977
1872-10-31,0.098
1872-11-30,0.0983
1872-12-31,0.0986
1873-01-31,0.0991
1873-02-28,0.0997
1873-03-31,0.1002
1873-04-30,0.1007
1873-05-31,0.1013
1873-06-30,0.1018
1873-07-31,0.1024
1873-08-31,0.1029
1873-09-30,0.1034
1873-10-31,0.104
1873-11-30,0.1045
1873-12-31,0.1051
1874-01-31,0.1058
1874-02-28,0.1066
1874-03-31,0.1073
1874-04-30,0.1081
1874-05-31,0.1089
1874-06-30,0.1096
1874-07-31,0.1104
1874-08-31,0.1111
1874-09-30,0.1119
1874-10-31,0.1127
1874-11-30,0.1135
1874-12-31,0.1142
1875-01-31,0.1151
1875-02-28,0.1159
1875-03-31,0.1168
1875-04-30,0.1176
1875-05-31,0.1185
1875-06-30,0.1193
1875-07-31,0.1202
1875-08-31,0.121
1875-09-30,0.1219
1875-10-31,0.1228
1875-11-30,0.1236
1875-12-31,0.1245
1876-01-31,0.1251
1876-02-29,0.1257
1876-03-31,0.1263
1876-04-30,0.1269
1876-05-31,0.1275
1876-06-30,0.1281
1876-07-31,0.1287
1876-08-31,0.1293
1876-09-30,0.1299
1876-10-31,0.1305
1876-11-30,0.1311
1876-12-31,0.1317
1877-01-31,0.1323
1877-02-28,0.1329
1877-03-31,0.1335
1877-04-30,0.1341
1877-05-31,0.1346
1877-06-30,0.1352
1877-07-31,0.1358
1877-08-31,0.1364
1877-09-30,0.137
1877-10-31,0.1376
1877-11-30,0.1382
1877-12-31,0.1388
1878-01-31,0.1394
1878-02-28,0.1401
1878-03-31,0.1407
1878-04-30,0.1413
1878-05-31,0.1419
1878-06-30,0.1425
1878-07-31,0.1432
1878-08-31,0.1438
1878-09-30,0.1444
1878-10-31,0.145
1878-11-30,0.1457
1878-12-31,0.1463
1879-01-31,0.147
1879-02-28,0.1477
1879-03-31,0.1484
1879-04-30,0.1492
1879-05-31,0.1499
1879-06-30,0.1506
1879-07-31,0.1513
1879-08-31,0.152
1879-09-30,0.1528
1879-10-31,0.1535
1879-11-30,0.1542
1879-12-31,0.1549
1880-01-31,0.1558
1880-02-29,0.1567
1880-03-31,0.1575
1880-04-30,0.1584
1880-05-31,0.1592
1880-06-30,0.1601
1880-07-31,0.161
1880-08-31,0.1618
1880-09-30,0.1627
1880-10-31,0.1636
1880-11-30,0.1645
1880-12-31,0.1653
1881-01-31,0.1659
1881-02-28,0.1665
1881-03-31,0.1671
1881-04-30,0.1677
1881-05-31,0.1684
1881-06-30,0.169
1881-07-31,0.1696
1881-08-31,0.1702
1881-09-30,0.1708
1881-10-31,0.1714
1881-11-30,0.172
1881-12-31,0.1726
1882-01-31,0.1731
1882-02-28,0.1737
1882-03-31,0.1742
1882-04-30,0.1747
1882-05-31,0.1752
1882-06-30,0.1757
1882-07-31,0.1762
1882-08-31,0.1768
1882-09-30,0.1773
1882-10-31,0.1778
1882-11-30,0.1783
1882-12-31,0.1789
1883-01-31,0.1794
1883-02-28,0.18
1883-03-31,0.1805
1883-04-30,0.1811
1883-05-31,0.1816
1883-06-30,0.1822
1883-07-31,0.1828
1883-08-31,0.1833
1883-09-30,0.1839
1883-10-31,0.1845
1883-11-30,0.185
1883-12-31,0.1856
1884-01-31,0.1863
1884-02-29,0.187
1884-03-31,0.1877
1884-04-30,0.1884
1884-05-31,0.1891
1884-06-30,0.1897
1884-07-31,0.1904
1884-08-31,0.1911
1884-09-30,0.1918
1884-10-31,0.1925
1884-11-30,0.1932
1884-12-31,0.1939
1885-01-31,0.1947
1885-02-28,0.1955
1885-03-31,0.1963
1885-04-30,0.197
1885-05-31,0.1978
1885-06-30,0.1986
1885-07-31,0.1994
1885-08-31,0.2002
1885-09-30,0.2009
1885-10-31,0.2017
1885-11-30,0.2025
1885-12-31,0.2033
1886-01-31,0.2036
1886-02-28,0.204
1886-03-31,0.2044
