date,price
1871-02-28,0.6995
1871-03-31,0.7016
1871-04-30,0.7037
1871-05-31,0.7058
1871-06-30,0.7079
1871-07-31,0.71
1871-08-31,0.7121
1871-09-30,0.7143
1871-10-31,0.7164
1871-11-30,0.7186
1871-12-31,0.7207
1872-01-31,0.7229
1872-02-29,0.7252
1872-03-31,0.7272
1872-04-30,0.7295
1872-05-31,0.7317
1872-06-30,0.734
1872-07-31,0.7362
1872-08-31,0.7384
1872-09-30,0.7407
1872-10-31,0.7431
1872-11-30,0.7453
1872-12-31,0.7476
1873-01-31,0.7499
1873-02-28,0.7524
1873-03-31,0.7547
1873-04-30,0.757
1873-05-31,0.7595
1873-06-30,0.7618
1873-07-31,0.7641
1873-08-31,0.7666
1873-09-30,0.7689
1873-10-31,0.7713
1873-11-30,0.7737
1873-12-31,0.7761
1874-01-31,0.7784
1874-02-28,0.7809
1874-03-31,0.7832
1874-04-30,0.7856
1874-05-31,0.7879
1874-06-30,0.7904
1874-07-31,0.7927
1874-08-31,0.795
1874-09-30,0.7973
1874-10-31,0.7998
1874-11-30,0.8021
1874-12-31,0.8044
1875-01-31,0.8066
1875-02-28,0.8089
1875-03-31,0.8112
1875-04-30,0.8135
1875-05-31,0.8157
1875-06-30,0.8179
1875-07-31,0.8202
1875-08-31,0.8224
1875-09-30,0.8246
1875-10-31,0.8268
1875-11-30,0.829
1875-12-31,0.8311
1876-01-31,0.8332
1876-02-29,0.8354
1876-03-31,0.8376
1876-04-30,0.8397
1876-05-31,0.8418
1876-06-30,0.8439
1876-07-31,0.8461
1876-08-31,0.8481
1876-09-30,0.8503
1876-10-31,0.8525
1876-11-30,0.8546
1876-12-31,0.8568
1877-01-31,0.8588
1877-02-28,0.861
1877-03-31,0.8631
1877-04-30,0.8652
1877-05-31,0.8674
1877-06-30,0.8695
1877-07-31,0.8716
1877-08-31,0.8738
1877-09-30,0.8759
1877-10-31,0.8781
1877-11-30,0.8801
1877-12-31,0.8823
1878-01-31,0.8845
1878-02-28,0.8866
1878-03-31,0.8887
1878-04-30,0.8909
1878-05-31,0.893
1878-06-30,0.8951
1878-07-31,0.8973
1878-08-31,0.8994
1878-09-30,0.9015
1878-10-31,0.9037
1878-11-30,0.9058
1878-12-31,0.908
1879-01-31,0.91
1879-02-28,0.9122
1879-03-31,0.9144
1879-04-30,0.9164
1879-05-31,0.9186
1879-06-30,0.9208
1879-07-31,0.9228
1879-08-31,0.925
1879-09-30,0.927
1879-10-31,0.9292
1879-11-30,0.9312
1879-12-31,0.9333
1880-01-31,0.9354
1880-02-29,0.9375
1880-03-31,0.9395
1880-04-30,0.9417
1880-05-31,0.9437
1880-06-30,0.9457
1880-07-31,0.9478
1880-08-31,0.9498
1880-09-30,0.9517
1880-10-31,0.9538
1880-11-30,0.9558
1880-12-31,0.9577
1881-01-31,0.9598
1881-02-28,0.9617
1881-03-31,0.9636
1881-04-30,0.9656
1881-05-31,0.9676
1881-06-30,0.9696
1881-07-31,0.9715
1881-08-31,0.9734
1881-09-30,0.9755
1881-10-31,0.9774
1881-11-30,0.9794
1881-12-31,0.9813
1882-01-31,0.9832
1882-02-28,0.9853
1882-03-31,0.9872
1882-04-30,0.9892
1882-05-31,0.9911
1882-06-30,0.9931
1882-07-31,0.995
1882-08-31,0.9971
1882-09-30,0.9991
1882-10-31,1.0011
1882-11-30,1.003
1882-12-31,1.0051
1883-01-31,1.0071
1883-02-28,1.0091
1883-03-31,1.0111
1883-04-30,1.0132
1883-05-31,1.0152
1883-06-30,1.0172
1883-07-31,1.0192
1883-08-31,1.0212
1883-09-30,1.0233
1883-10-31,1.0254
1883-11-30,1.0274
1883-12-31,1.0294
1884-01-31,1.0315
1884-02-29,1.0336
1884-03-31,1.0356
1884-04-30,1.0376
1884-05-31,1.0398
1884-06-30,1.0418
1884-07-31,1.0438
1884-08-31,1.0459
1884-09-30,1.048
1884-10-31,1.05
1884-11-30,1.052
1884-12-31,1.0541
1885-01-31,1.0561
1885-02-28,1.0581
1885-03-31,1.0602
1885-04-30,1.0623
1885-05-31,1.0643
1885-06-30,1.0663
1885-07-31,1.0683
1885-08-31,1.0703
1885-09-30,1.0723
1885-10-31,1.0744
1885-11-30,1.0764
1885-12-31,1.0784
1886-01-31,1.0804
1886-02-28,1.0824
1886-03-31,1.0844
1886-04-30,1.0864
1886-05-31,1.0885
1886-06-30,1.0905
1886-07-31,1.0925
1886-08-31,1.0947
1886-09-30,1.0968
1886-10-31,1.0988
1886-11-30,1.1009
1886-12-31,1.103
1887-01-31,1.1051
1887-02-28,1.1073
1887-03-31,1.1095
1887-04-30,1.1116
1887-05-31,1.1139
1887-06-30,1.116
1887-07-31,1.1182
1887-08-31,1.1204
1887-09-30,1.1227
1887-10-31,1.1249
1887-11-30,1.1271
1887-12-31,1.1294
1888-01-31,1.1316
1888-02-29,1.134
1888-03-31,1.1362
1888-04-30,1.1385
1888-05-31,1.1408
1888-06-30,1.143
1888-07-31,1.1453
1888-08-31,1.1476
1888-09-30,1.1498
1888-10-31,1.152
1888-11-30,1.1543
1888-12-31,1.1565
1889-01-31,1.1586
1889-02-28,1.1608
1889-03-31,1.163
1889-04-30,1.1653
1889-05-31,1.1675
1889-06-30,1.1696
1889-07-31,1.1718
1889-08-31,1.174
1889-09-30,1.1763
1889-10-31,1.1785
1889-11-30,1.1807
1889-12-31,1.1829
1890-01-31,1.1851
1890-02-28,1.1874
1890-03-31,1.1896
1890-04-30,1.1919
1890-05-31,1.1941
1890-06-30,1.1965
1890-07-31,1.1988
1890-08-31,1.2011
1890-09-30,1.2035
1890-10-31,1.2058
1890-11-30,1.2081
1890-12-31,1.2106
1891-01-31,1.2129
1891-02-28,1.2154
1891-03-31,1.2178
1891-04-30,1.2202
1891-05-31,1.2226
1891-06-30,1.225
1891-07-31,1.2275
1891-08-31,1.2299
1891-09-30,1.2324
1891-10-31,1.2348
1891-11-30,1.2372
1891-12-31,1.2398
1892-01-31,1.2422
1892-02-29,1.2447
1892-03-31,1.2471
1892-04-30,1.2497
1892-05-31,1.2521
1892-06-30,1.2547
1892-07-31,1.2572
1892-08-31,1.2598
1892-09-30,1.2623
1892-10-31,1.2649
1892-11-30,1.2674
1892-12-31,1.2701
1893-01-31,1.2727
1893-02-28,1.2753
1893-03-31,1.278
1893-04-30,1.2807
1893-05-31,1.2832
1893-06-30,1.2859
1893-07-31,1.2885
1893-08-31,1.2912
1893-09-30,1.2939
1893-10-31,1.2965
1893-11-30,1.2992
1893-12-31,1.3019
1894-01-31,1.3045
1894-02-28,1.3072
1894-03-31,1.3098
1894-04-30,1.3124
1894-05-31,1.315
1894-06-30,1.3177
1894-07-31,1.3204
1894-08-31,1.3229
1894-09-30,1.3255
1894-10-31,1.3281
1894-11-30,1.3306
1894-12-31,1.3332
1895-01-31,1.3358
1895-02-28,1.3384
1895-03-31,1.3409
1895-04-30,1.3434
1895-05-31,1.346
1895-06-30,1.3486
1895-07-31,1.3513
1895-08-31,1.3538
1895-09-30,1.3564
1895-10-31,1.3591
1895-11-30,1.3618
1895-12-31,1.3645
1896-01-31,1.3671
1896-02-29,1.3699
1896-03-31,1.3725
1896-04-30,1.3753
1896-05-31,1.378
1896-06-30,1.3806
1896-07-31,1.3834
1896-08-31,1.386
1896-09-30,1.3886
1896-10-31,1.3913
1896-11-30,1.3939
1896-12-31,1.3966
1897-01-31,1.3992
1897-02-28,1.4018
1897-03-31,1.4044
1897-04-30,1.407
1897-05-31,1.4096
1897-06-30,1.4123
1897-07-31,1.4149
1897-08-31,1.4175
1897-09-30,1.4202
1897-10-31,1.4227
1897-11-30,1.4253
1897-12-31,1.4279
1898-01-31,1.4306
1898-02-28,1.4332
1898-03-31,1.4358
1898-04-30,1.4385
1898-05-31,1.4411
1898-06-30,1.4436
1898-07-31,1.4462
1898-08-31,1.4487
1898-09-30,1.4512
1898-10-31,1.4538
1898-11-30,1.4563
1898-12-31,1.4588
1899-01-31,1.4613
1899-02-28,1.4638
1899-03-31,1.4663
1899-04-30,1.4687
1899-05-31,1.4712
1899-06-30,1.4737
1899-07-31,1.4762
1899-08-31,1.4788
1899-09-30,1.4813
1899-10-31,1.4838
1899-11-30,1.4863
1899-12-31,1.4889
1900-01-31,1.4914
1900-02-28,1.494
1900-03-31,1.4967
1900-04-30,1.4992
1900-05-31,1.5018
1900-06-30,1.5043
1900-07-31,1.5069
1900-08-31,1.5095
1900-09-30,1.512
1900-10-31,1.5146
1900-11-30,1.5172
1900-12-31,1.5197
1901-01-31,1.5223
1901-02-28,1.5249
1901-03-31,1.5275
1901-04-30,1.5301
1901-05-31,1.5327
1901-06-30,1.5353
1901-07-31,1.5379
1901-08-31,1.5405
1901-09-30,1.5433
1901-10-31,1.5459
1901-11-30,1.5486
1901-12-31,1.5512
1902-01-31,1.5539
1902-02-28,1.5566
1902-03-31,1.5593
1902-04-30,1.562
1902-05-31,1.5648
1902-06-30,1.5676
1902-07-31,1.5703
1902-08-31,1.5731
1902-09-30,1.576
1902-10-31,1.5787
1902-11-30,1.5815
1902-12-31,1.5844
