date,price
1871-01-31,0.0687
1871-02-28,0.0689
1871-03-31,0.0692
1871-04-30,0.0695
1871-05-31,0.0698
1871-06-30,0.0701
1871-07-31,0.0704
1871-08-31,0.0707
1871-09-30,0.071
1871-10-31,0.0713
1871-11-30,0.0716
1871-12-31,0.0719
1872-01-31,0.0721
1872-02-29,0.0723
1872-03-31,0.0726
1872-04-30,0.0728
1872-05-31,0.073
1872-06-30,0.0732
1872-07-31,0.0735
1872-08-31,0.0737
1872-09-30,0.0739
1872-10-31,0.0742
1872-11-30,0.0744
1872-12-31,0.0747
1873-01-31,0.0751
1873-02-28,0.0755
1873-03-31,0.0759
1873-04-30,0.0763
1873-05-31,0.0767
1873-06-30,0.0771
1873-07-31,0.0775
1873-08-31,0.0779
1873-09-30,0.0783
1873-10-31,0.0787
1873-11-30,0.0791
1873-12-31,0.0795
1874-01-31,0.0801
1874-02-28,0.0807
1874-03-31,0.0813
1874-04-30,0.0818
1874-05-31,0.0824
1874-06-30,0.083
1874-07-31,0.0835
1874-08-31,0.0841
1874-09-30,0.0847
1874-10-31,0.0853
1874-11-30,0.0859
1874-12-31,0.0865
1875-01-31,0.0871
1875-02-28,0.0877
1875-03-31,0.0884
1875-04-30,0.089
1875-05-31,0.0897
1875-06-30,0.0903
1875-07-31,0.091
1875-08-31,0.0916
1875-09-30,0.0923
1875-10-31,0.0929
1875-11-30,0.0936
1875-12-31,0.0942
1876-01-31,0.0947
1876-02-29,0.0951
1876-03-31,0.0956
1876-04-30,0.096
1876-05-31,0.0965
1876-06-30,0.0969
1876-07-31,0.0974
1876-08-31,0.0979
1876-09-30,0.0983
1876-10-31,0.0988
1876-11-30,0.0992
1876-12-31,0.0997
1877-01-31,0.1001
1877-02-28,0.1006
1877-03-31,0.101
1877-04-30,0.1015
1877-05-31,0.1019
1877-06-30,0.1024
1877-07-31,0.1028
1877-08-31,0.1033
1877-09-30,0.1037
1877-10-31,0.1042
1877-11-30,0.1046
1877-12-31,0.1051
1878-01-31,0.1056
1878-02-28,0.106
1878-03-31,0.1065
1878-04-30,0.107
1878-05-31,0.1074
1878-06-30,0.1079
1878-07-31,0.1084
1878-08-31,0.1088
1878-09-30,0.1093
1878-10-31,0.1098
1878-11-30,0.1103
1878-12-31,0.1107
1879-01-31,0.1113
1879-02-28,0.1118
1879-03-31,0.1124
1879-04-30,0.1129
1879-05-31,0.1135
1879-06-30,0.114
1879-07-31,0.1145
1879-08-31,0.1151
1879-09-30,0.1156
1879-10-31,0.1162
1879-11-30,0.1167
1879-12-31,0.1173
1880-01-31,0.1179
1880-02-29,0.1186
1880-03-31,0.1192
1880-04-30,0.1199
1880-05-31,0.1205
1880-06-30,0.1212
1880-07-31,0.1219
1880-08-31,0.1225
1880-09-30,0.1232
1880-10-31,0.1238
1880-11-30,0.1245
1880-12-31,0.1252
1881-01-31,0.1256
1881-02-28,0.1261
1881-03-31,0.1265
1881-04-30,0.127
1881-05-31,0.1274
1881-06-30,0.1279
1881-07-31,0.1284
1881-08-31,0.1288
1881-09-30,0.1293
1881-10-31,0.1297
1881-11-30,0.1302
1881-12-31,0.1307
1882-01-31,0.1311
1882-02-28,0.1314
1882-03-31,0.1318
1882-04-30,0.1322
1882-05-31,0.1326
1882-06-30,0.133
1882-07-31,0.1334
1882-08-31,0.1338
1882-09-30,0.1342
1882-10-31,0.1346
1882-11-30,0.135
1882-12-31,0.1354
1883-01-31,0.1358
1883-02-28,0.1362
1883-03-31,0.1366
1883-04-30,0.1371
1883-05-31,0.1375
1883-06-30,0.1379
1883-07-31,0.1383
1883-08-31,0.1388
1883-09-30,0.1392
1883-10-31,0.1396
1883-11-30,0.1401
1883-12-31,0.1405
1884-01-31,0.141
1884-02-29,0.1415
1884-03-31,0.1421
1884-04-30,0.1426
1884-05-31,0.1431
1884-06-30,0.1436
1884-07-31,0.1442
1884-08-31,0.1447
1884-09-30,0.1452
1884-10-31,0.1457
1884-11-30,0.1463
1884-12-31,0.1468
1885-01-31,0.1474
1885-02-28,0.148
1885-03-31,0.1486
1885-04-30,0.1492
1885-05-31,0.1497
1885-06-30,0.1503
1885-07-31,0.1509
1885-08-31,0.1515
1885-09-30,0.1521
1885-10-31,0.1527
1885-11-30,0.1533
1885-12-31,0.1539
1886-01-31,0.1541
1886-02-28,0.1544
1886-03-31,0.1547
1886-04-30,0.155
1886-05-31,0.1552
1886-06-30,0.1555
1886-07-31,0.1558
1886-08-31,0.1561
1886-09-30,0.1564
1886-10-31,0.1567
1886-11-30,0.157
1886-12-31,0.1573
1887-01-31,0.1576
1887-02-28,0.1579
1887-03-31,0.1582
1887-04-30,0.1585
1887-05-31,0.1588
1887-06-30,0.1591
1887-07-31,0.1594
1887-08-31,0.1597
1887-09-30,0.16
1887-10-31,0.1603
1887-11-30,0.1607
1887-12-31,0.161
1888-01-31,0.1617
1888-02-29,0.1625
1888-03-31,0.1632
1888-04-30,0.1639
1888-05-31,0.1647
1888-06-30,0.1654
