date,price
2015-01-31,99.5851
2015-02-28,99.3228
2015-03-31,99.4061
2015-04-30,99.5096
2015-05-31,99.7034
2015-06-30,99.7333
2015-07-31,99.8167
2015-08-31,100.0761
2015-09-30,100.1494
2015-10-31,100.2580
2015-11-30,100.2777
2015-12-31,100.3354
2016-01-31,100.5361
2016-02-29,100.8243
2016-03-31,100.8228
2016-04-30,100.8640
2016-05-31,100.9526
2016-06-30,101.3704
2016-07-31,101.5013
2016-08-31,101.7557
2016-09-30,102.0733
2016-10-31,102.3689
2016-11-30,102.4417
2016-12-31,102.5409
2017-01-31,102.5109
2017-02-28,102.5039
2017-03-31,102.4964
2017-04-30,102.7041
2017-05-31,102.9190
2017-06-30,103.2056
2017-07-31,103.2943
2017-08-31,103.2665
2017-09-30,103.4556
2017-10-31,103.2283
2017-11-30,103.2123
2017-12-31,103.4142
2018-01-31,103.5691
2018-02-28,103.6998
2018-03-31,103.5258
2018-04-30,103.6401
2018-05-31,103.8687
2018-06-30,103.9872
2018-07-31,104.2116
2018-08-31,104.0123
2018-09-30,104.1077
2018-10-31,104.4328
2018-11-30,104.7209
2018-12-31,104.8120
2019-01-31,104.9697
2019-02-28,104.9334
2019-03-31,105.2671
2019-04-30,105.3717
2019-05-31,105.6729
2019-06-30,105.6354
2019-07-31,105.5178
2019-08-31,105.5996
2019-09-30,105.5578
2019-10-31,105.6795
2019-11-30,105.7274
2019-12-31,105.5298
2020-01-31,105.4782
2020-02-29,105.5164
2020-03-31,105.6923
2020-04-30,105.8251
2020-05-31,105.8795
2020-06-30,106.1918
2020-07-31,106.1598
2020-08-31,106.3601
2020-09-30,106.5163
2020-10-31,106.5475
2020-11-30,106.7055
2020-12-31,106.8228
2021-01-31,107.2352
2021-02-28,107.3470
2021-03-31,107.6864
2021-04-30,107.9210
2021-05-31,108.1239
2021-06-30,108.3321
2021-07-31,108.7016
2021-08-31,108.7210
2021-09-30,108.6822
2021-10-31,109.1613
2021-11-30,109.3863
2021-12-31,109.5928
2022-01-31,109.8917
2022-02-28,109.8635
2022-03-31,110.1725
2022-04-30,110.4658
2022-05-31,110.4459
2022-06-30,110.5007
2022-07-31,110.8069
2022-08-31,110.8569
2022-09-30,110.9366
2022-10-31,110.8326
2022-11-30,111.0794
2022-12-31,111.3083
2023-01-31,111.6432
2023-02-28,111.5379
2023-03-31,111.8346
2023-04-30,111.8191
2023-05-31,111.8577
2023-06-30,112.0199
2023-07-31,112.2183
2023-08-31,112.4212
2023-09-30,112.4733
2023-10-31,112.8675
2023-11-30,113.0160
2023-12-31,113.3086
2024-01-31,113.2467
2024-02-29,113.6067
2024-03-31,113.7130
2024-04-30,113.9012
2024-05-31,114.0893
2024-06-30,114.1129
2024-07-31,114.3550
2024-08-31,114.3321
2024-09-30,114.5394
2024-10-31,114.3006
2024-11-30,114.5514
2024-12-31,114.7337
