date,price
1871-02-28,0.0955
1871-03-31,0.0958
1871-04-30,0.0963
1871-05-31,0.0967
1871-06-30,0.097
1871-07-31,0.0975
1871-08-31,0.0979
1871-09-30,0.0982
1871-10-31,0.0987
1871-11-30,0.099
1871-12-31,0.0995
1872-01-31,0.0997
1872-02-29,0.1001
1872-03-31,0.1003
1872-04-30,0.1007
1872-05-31,0.1009
1872-06-30,0.1013
1872-07-31,0.1016
1872-08-31,0.1018
1872-09-30,0.1022
1872-10-31,0.1025
1872-11-30,0.1028
1872-12-31,0.1031
1873-01-31,0.1037
1873-02-28,0.1042
1873-03-31,0.1048
1873-04-30,0.1053
1873-05-31,0.1059
1873-06-30,0.1064
1873-07-31,0.1069
1873-08-31,0.1075
1873-09-30,0.1081
1873-10-31,0.1086
1873-11-30,0.1092
1873-12-31,0.1098
1874-01-31,0.1105
1874-02-28,0.1113
1874-03-31,0.112
1874-04-30,0.1129
1874-05-31,0.1136
1874-06-30,0.1144
1874-07-31,0.1151
1874-08-31,0.116
1874-09-30,0.1168
1874-10-31,0.1175
1874-11-30,0.1183
1874-12-31,0.1192
1875-01-31,0.12
1875-02-28,0.1208
1875-03-31,0.1217
1875-04-30,0.1226
1875-05-31,0.1234
1875-06-30,0.1243
1875-07-31,0.1252
1875-08-31,0.1261
1875-09-30,0.1269
1875-10-31,0.1278
1875-11-30,0.1287
1875-12-31,0.1296
1876-01-31,0.1302
1876-02-29,0.1308
1876-03-31,0.1314
1876-04-30,0.132
1876-05-31,0.1326
1876-06-30,0.1333
1876-07-31,0.1339
1876-08-31,0.1345
1876-09-30,0.135
1876-10-31,0.1356
1876-11-30,0.1363
1876-12-31,0.1369
1877-01-31,0.1375
1877-02-28,0.1381
1877-03-31,0.1387
1877-04-30,0.1393
1877-05-31,0.1399
1877-06-30,0.1404
1877-07-31,0.1411
1877-08-31,0.1417
1877-09-30,0.1423
1877-10-31,0.1429
1877-11-30,0.1435
1877-12-31,0.1441
1878-01-31,0.1448
1878-02-28,0.1454
1878-03-31,0.1459
1878-04-30,0.1466
1878-05-31,0.1472
1878-06-30,0.1478
1878-07-31,0.1485
1878-08-31,0.1491
1878-09-30,0.1497
1878-10-31,0.1504
1878-11-30,0.151
1878-12-31,0.1517
1879-01-31,0.1524
1879-02-28,0.1531
1879-03-31,0.1538
1879-04-30,0.1545
1879-05-31,0.1552
1879-06-30,0.156
1879-07-31,0.1567
1879-08-31,0.1574
1879-09-30,0.1581
1879-10-31,0.1589
1879-11-30,0.1596
1879-12-31,0.1603
1880-01-31,0.1612
1880-02-29,0.1621
1880-03-31,0.1629
1880-04-30,0.1639
1880-05-31,0.1647
1880-06-30,0.1656
1880-07-31,0.1665
1880-08-31,0.1674
1880-09-30,0.1682
1880-10-31,0.1692
1880-11-30,0.17
1880-12-31,0.1709
1881-01-31,0.1715
1881-02-28,0.1721
1881-03-31,0.1726
1881-04-30,0.1732
1881-05-31,0.1739
1881-06-30,0.1745
1881-07-31,0.1751
1881-08-31,0.1757
1881-09-30,0.1764
1881-10-31,0.1769
1881-11-30,0.1775
1881-12-31,0.1781
1882-01-31,0.1787
1882-02-28,0.1791
1882-03-31,0.1797
1882-04-30,0.1801
1882-05-31,0.1806
1882-06-30,0.1812
1882-07-31,0.1816
1882-08-31,0.1822
1882-09-30,0.1827
1882-10-31,0.1832
1882-11-30,0.1837
1882-12-31,0.1843
1883-01-31,0.1849
1883-02-28,0.1853
1883-03-31,0.1859
1883-04-30,0.1865
1883-05-31,0.187
1883-06-30,0.1876
1883-07-31,0.1882
1883-08-31,0.1886
1883-09-30,0.1892
1883-10-31,0.1898
1883-11-30,0.1904
1883-12-31,0.1909
1884-01-31,0.1916
1884-02-29,0.1923
1884-03-31,0.193
1884-04-30,0.1937
1884-05-31,0.1944
1884-06-30,0.1951
1884-07-31,0.1958
1884-08-31,0.1965
1884-09-30,0.1972
1884-10-31,0.1979
1884-11-30,0.1985
1884-12-31,0.1992
1885-01-31,0.2
1885-02-28,0.2007
1885-03-31,0.2015
1885-04-30,0.2024
1885-05-31,0.203
1885-06-30,0.2039
1885-07-31,0.2047
1885-08-31,0.2054
1885-09-30,0.2062
1885-10-31,0.207
1885-11-30,0.2077
1885-12-31,0.2085
1886-01-31,0.2088
1886-02-28,0.2091
1886-03-31,0.2096
1886-04-30,0.2099
1886-05-31,0.2102
1886-06-30,0.2106
1886-07-31,0.2109
1886-08-31,0.2114
1886-09-30,0.2117
1886-10-31,0.212
1886-11-30,0.2123
1886-12-31,0.2128
1887-01-31,0.2131
1887-02-28,0.2136
1887-03-31,0.2139
1887-04-30,0.2142
1887-05-31,0.2147
1887-06-30,0.215
1887-07-31,0.2155
1887-08-31,0.2159
1887-09-30,0.2162
1887-10-31,0.2167
1887-11-30,0.217
1887-12-31,0.2175
1888-01-31,0.2184
1888-02-29,0.2194
1888-03-31,0.2203
1888-04-30,0.2214
1888-05-31,0.2223
1888-06-30,0.2234
1888-07-31,0.2243
1888-08-31,0.2253
1888-09-30,0.2262
1888-10-31,0.2273
1888-11-30,0.2282
1888-12-31,0.2292
1889-01-31,0.2299
1889-02-28,0.2306
1889-03-31,0.2313
1889-04-30,0.232
1889-05-31,0.2326
1889-06-30,0.2333
1889-07-31,0.234
1889-08-31,0.2347
1889-09-30,0.2354
1889-10-31,0.2361
1889-11-30,0.2367
1889-12-31,0.2374
1890-01-31,0.2377
1890-02-28,0.2381
1890-03-31,0.2384
1890-04-30,0.2387
1890-05-31,0.239
1890-06-30,0.2394
1890-07-31,0.2397
1890-08-31,0.24
1890-09-30,0.2403
1890-10-31,0.2408
1890-11-30,0.2411
1890-12-31,0.2414
1891-01-31,0.2422
