date,price
1871-01-31,0.4778
1871-02-28,0.4793
1871-03-31,0.4808
1871-04-30,0.4823
1871-05-31,0.4838
1871-06-30,0.4853
1871-07-31,0.4868
1871-08-31,0.4883
1871-09-30,0.4899
1871-10-31,0.4914
1871-11-30,0.4929
1871-12-31,0.4945
1872-01-31,0.496
1872-02-29,0.4976
1872-03-31,0.4991
1872-04-30,0.5007
1872-05-31,0.5023
1872-06-30,0.5039
1872-07-31,0.5055
1872-08-31,0.5071
1872-09-30,0.5087
1872-10-31,0.5103
1872-11-30,0.512
1872-12-31,0.5136
1873-01-31,0.5153
1873-02-28,0.517
1873-03-31,0.5187
1873-04-30,0.5203
1873-05-31,0.522
1873-06-30,0.5237
1873-07-31,0.5254
1873-08-31,0.5271
1873-09-30,0.5288
1873-10-31,0.5305
1873-11-30,0.5322
1873-12-31,0.5339
1874-01-31,0.5356
1874-02-28,0.5373
1874-03-31,0.539
1874-04-30,0.5407
1874-05-31,0.5424
1874-06-30,0.5441
1874-07-31,0.5458
1874-08-31,0.5475
1874-09-30,0.5491
1874-10-31,0.5508
1874-11-30,0.5525
1874-12-31,0.5541
1875-01-31,0.5558
1875-02-28,0.5574
1875-03-31,0.559
1875-04-30,0.5607
1875-05-31,0.5623
1875-06-30,0.5639
1875-07-31,0.5655
1875-08-31,0.5671
1875-09-30,0.5687
1875-10-31,0.5703
1875-11-30,0.5718
1875-12-31,0.5734
1876-01-31,0.5749
1876-02-29,0.5765
1876-03-31,0.578
1876-04-30,0.5795
1876-05-31,0.5811
1876-06-30,0.5826
1876-07-31,0.5842
1876-08-31,0.5857
1876-09-30,0.5872
1876-10-31,0.5888
1876-11-30,0.5903
1876-12-31,0.5919
1877-01-31,0.5934
1877-02-28,0.595
1877-03-31,0.5965
1877-04-30,0.598
1877-05-31,0.5996
1877-06-30,0.6011
1877-07-31,0.6027
1877-08-31,0.6042
1877-09-30,0.6058
1877-10-31,0.6073
1877-11-30,0.6088
1877-12-31,0.6104
1878-01-31,0.6119
1878-02-28,0.6135
1878-03-31,0.615
1878-04-30,0.6166
1878-05-31,0.6181
1878-06-30,0.6197
1878-07-31,0.6212
1878-08-31,0.6228
1878-09-30,0.6243
1878-10-31,0.6259
1878-11-30,0.6275
1878-12-31,0.629
1879-01-31,0.6306
1879-02-28,0.6321
1879-03-31,0.6337
1879-04-30,0.6352
1879-05-31,0.6368
1879-06-30,0.6383
1879-07-31,0.6398
1879-08-31,0.6414
1879-09-30,0.6429
1879-10-31,0.6444
1879-11-30,0.646
1879-12-31,0.6475
1880-01-31,0.649
1880-02-29,0.6505
1880-03-31,0.6521
1880-04-30,0.6536
1880-05-31,0.6551
1880-06-30,0.6566
1880-07-31,0.6581
1880-08-31,0.6595
1880-09-30,0.661
1880-10-31,0.6625
1880-11-30,0.6639
1880-12-31,0.6654
1881-01-31,0.6668
1881-02-28,0.6683
1881-03-31,0.6697
1881-04-30,0.6712
1881-05-31,0.6726
1881-06-30,0.674
1881-07-31,0.6755
1881-08-31,0.6769
1881-09-30,0.6784
1881-10-31,0.6798
1881-11-30,0.6813
1881-12-31,0.6827
1882-01-31,0.6841
1882-02-28,0.6856
1882-03-31,0.687
1882-04-30,0.6885
1882-05-31,0.6899
1882-06-30,0.6914
1882-07-31,0.6929
1882-08-31,0.6943
1882-09-30,0.6958
1882-10-31,0.6973
1882-11-30,0.6987
1882-12-31,0.7002
1883-01-31,0.7017
1883-02-28,0.7032
1883-03-31,0.7047
1883-04-30,0.7062
1883-05-31,0.7077
1883-06-30,0.7092
1883-07-31,0.7107
1883-08-31,0.7122
1883-09-30,0.7137
1883-10-31,0.7152
1883-11-30,0.7167
1883-12-31,0.7182
1884-01-31,0.7197
1884-02-29,0.7212
1884-03-31,0.7228
1884-04-30,0.7243
1884-05-31,0.7258
1884-06-30,0.7273
1884-07-31,0.7288
1884-08-31,0.7304
1884-09-30,0.7319
1884-10-31,0.7334
1884-11-30,0.7349
1884-12-31,0.7364
1885-01-31,0.7379
1885-02-28,0.7394
1885-03-31,0.741
1885-04-30,0.7425
1885-05-31,0.744
1885-06-30,0.7455
1885-07-31,0.747
1885-08-31,0.7485
1885-09-30,0.75
1885-10-31,0.7515
1885-11-30,0.753
1885-12-31,0.7545
1886-01-31,0.756
1886-02-28,0.7574
1886-03-31,0.7589
1886-04-30,0.7604
1886-05-31,0.762
1886-06-30,0.7635
1886-07-31,0.765
1886-08-31,0.7665
1886-09-30,0.7681
1886-10-31,0.7696
1886-11-30,0.7712
1886-12-31,0.7728
1887-01-31,0.7744
1887-02-28,0.7759
1887-03-31,0.7775
1887-04-30,0.7792
1887-05-31,0.7808
1887-06-30,0.7824
1887-07-31,0.784
1887-08-31,0.7857
1887-09-30,0.7873
1887-10-31,0.789
1887-11-30,0.7907
1887-12-31,0.7923
1888-01-31,0.794
1888-02-29,0.7957
1888-03-31,0.7974
1888-04-30,0.7991
1888-05-31,0.8008
1888-06-30,0.8025
1888-07-31,0.8042
1888-08-31,0.8058
1888-09-30,0.8075
1888-10-31,0.8092
1888-11-30,0.8108
1888-12-31,0.8125
1889-01-31,0.8141
1889-02-28,0.8157
1889-03-31,0.8174
1889-04-30,0.819
1889-05-31,0.8207
1889-06-30,0.8223
1889-07-31,0.824
1889-08-31,0.8256
1889-09-30,0.8273
1889-10-31,0.8289
1889-11-30,0.8306
1889-12-31,0.8322
1890-01-31,0.8339
1890-02-28,0.8356
1890-03-31,0.8372
1890-04-30,0.8389
1890-05-31,0.8406
1890-06-30,0.8423
1890-07-31,0.8441
1890-08-31,0.8458
1890-09-30,0.8475
1890-10-31,0.8493
1890-11-30,0.8511
1890-12-31,0.8528
1891-01-31,0.8546
1891-02-28,0.8564
1891-03-31,0.8582
1891-04-30,0.8601
1891-05-31,0.8619
1891-06-30,0.8637
1891-07-31,0.8655
1891-08-31,0.8673
1891-09-30,0.8692
1891-10-31,0.871
1891-11-30,0.8728
1891-12-31,0.8747
1892-01-31,0.8765
1892-02-29,0.8783
1892-03-31,0.8802
1892-04-30,0.882
1892-05-31,0.8839
1892-06-30,0.8858
1892-07-31,0.8877
1892-08-31,0.8896
1892-09-30,0.8915
1892-10-31,0.8934
1892-11-30,0.8954
1892-12-31,0.8973
1893-01-31,0.8993
1893-02-28,0.9012
1893-03-31,0.9032
1893-04-30,0.9052
1893-05-31,0.9071
1893-06-30,0.9091
1893-07-31,0.9111
1893-08-31,0.9131
1893-09-30,0.9151
1893-10-31,0.917
1893-11-30,0.919
1893-12-31,0.921
1894-01-31,0.923
1894-02-28,0.925
1894-03-31,0.927
1894-04-30,0.929
1894-05-31,0.9309
1894-06-30,0.9329
1894-07-31,0.9349
1894-08-31,0.9368
1894-09-30,0.9388
1894-10-31,0.9407
1894-11-30,0.9426
1894-12-31,0.9446
1895-01-31,0.9465
1895-02-28,0.9484
1895-03-31,0.9503
1895-04-30,0.9522
1895-05-31,0.9542
1895-06-30,0.9561
1895-07-31,0.9581
1895-08-31,0.9601
1895-09-30,0.962
1895-10-31,0.964
1895-11-30,0.966
1895-12-31,0.9681
1896-01-31,0.9701
1896-02-29,0.9721
1896-03-31,0.9742
1896-04-30,0.9762
1896-05-31,0.9782
1896-06-30,0.9802
1896-07-31,0.9822
1896-08-31,0.9842
1896-09-30,0.9862
1896-10-31,0.9882
1896-11-30,0.9902
1896-12-31,0.9922
1897-01-31,0.9942
1897-02-28,0.9962
1897-03-31,0.9981
1897-04-30,1.0001
1897-05-31,1.0021
1897-06-30,1.0041
1897-07-31,1.006
1897-08-31,1.008
1897-09-30,1.01
1897-10-31,1.012
1897-11-30,1.014
1897-12-31,1.016
1898-01-31,1.0179
1898-02-28,1.0199
1898-03-31,1.0219
1898-04-30,1.0239
1898-05-31,1.0258
1898-06-30,1.0278
1898-07-31,1.0297
1898-08-31,1.0317
1898-09-30,1.0336
1898-10-31,1.0355
1898-11-30,1.0374
1898-12-31,1.0393
1899-01-31,1.0412
1899-02-28,1.0431
1899-03-31,1.045
1899-04-30,1.0469
1899-05-31,1.0488
1899-06-30,1.0507
1899-07-31,1.0526
1899-08-31,1.0545
1899-09-30,1.0565
1899-10-31,1.0584
1899-11-30,1.0603
1899-12-31,1.0623
1900-01-31,1.0642
1900-02-28,1.0662
1900-03-31,1.0681
1900-04-30,1.0701
1900-05-31,1.0721
1900-06-30,1.074
1900-07-31,1.076
