date,price
1871-02-28,0.0402
1871-03-31,0.0403
1871-04-30,0.0405
1871-05-31,0.0406
1871-06-30,0.0408
1871-07-31,0.0409
1871-08-31,0.0411
1871-09-30,0.0412
1871-10-31,0.0414
1871-11-30,0.0415
1871-12-31,0.0418
1872-01-31,0.0419
1872-02-29,0.042
1872-03-31,0.0421
1872-04-30,0.0421
1872-05-31,0.0422
1872-06-30,0.0423
1872-07-31,0.0423
1872-08-31,0.0424
1872-09-30,0.0425
1872-10-31,0.0426
1872-11-30,0.0426
1872-12-31,0.0427
1873-01-31,0.0428
1873-02-28,0.043
1873-03-31,0.0434
1873-04-30,0.0436
1873-05-31,0.0438
1873-06-30,0.0441
1873-07-31,0.0443
1873-08-31,0.0446
1873-09-30,0.0449
1873-10-31,0.0452
1873-11-30,0.0454
1873-12-31,0.0457
1874-01-31,0.0459
1874-02-28,0.0464
1874-03-31,0.0468
1874-04-30,0.0472
1874-05-31,0.0477
1874-06-30,0.0481
1874-07-31,0.0485
1874-08-31,0.0489
1874-09-30,0.0495
1874-10-31,0.0499
1874-11-30,0.0504
1874-12-31,0.0508
1875-01-31,0.0513
1875-02-28,0.0517
1875-03-31,0.0523
1875-04-30,0.0528
1875-05-31,0.0534
1875-06-30,0.0539
1875-07-31,0.0543
1875-08-31,0.0549
1875-09-30,0.0554
1875-10-31,0.0559
1875-11-30,0.0565
1875-12-31,0.057
1876-01-31,0.0577
1876-02-29,0.058
1876-03-31,0.0582
1876-04-30,0.0585
1876-05-31,0.0589
1876-06-30,0.0592
1876-07-31,0.0595
1876-08-31,0.0598
1876-09-30,0.0601
1876-10-31,0.0605
1876-11-30,0.0608
1876-12-31,0.0612
1877-01-31,0.0615
1877-02-28,0.0617
1877-03-31,0.0621
1877-04-30,0.0624
1877-05-31,0.0627
1877-06-30,0.063
1877-07-31,0.0634
1877-08-31,0.0637
1877-09-30,0.064
1877-10-31,0.0643
1877-11-30,0.0646
1877-12-31,0.065
1878-01-31,0.0653
1878-02-28,0.0656
1878-03-31,0.0659
1878-04-30,0.0662
1878-05-31,0.0666
1878-06-30,0.0669
1878-07-31,0.0672
1878-08-31,0.0675
1878-09-30,0.0678
1878-10-31,0.0683
1878-11-30,0.0686
1878-12-31,0.0689
1879-01-31,0.0692
1879-02-28,0.0697
1879-03-31,0.0701
1879-04-30,0.0704
1879-05-31,0.0708
1879-06-30,0.0713
1879-07-31,0.0717
1879-08-31,0.0721
1879-09-30,0.0726
1879-10-31,0.073
1879-11-30,0.0734
1879-12-31,0.0738
1880-01-31,0.0743
1880-02-29,0.0747
1880-03-31,0.0752
1880-04-30,0.0758
1880-05-31,0.0763
1880-06-30,0.0769
1880-07-31,0.0775
1880-08-31,0.078
1880-09-30,0.0786
1880-10-31,0.0791
1880-11-30,0.0796
1880-12-31,0.0802
1881-01-31,0.0807
1881-02-28,0.081
1881-03-31,0.0813
1881-04-30,0.0818
1881-05-31,0.0821
1881-06-30,0.0824
1881-07-31,0.0827
1881-08-31,0.083
1881-09-30,0.0834
1881-10-31,0.0837
1881-11-30,0.084
1881-12-31,0.0843
1882-01-31,0.0846
1882-02-28,0.085
1882-03-31,0.0852
1882-04-30,0.0854
1882-05-31,0.0856
1882-06-30,0.0859
1882-07-31,0.0861
1882-08-31,0.0863
1882-09-30,0.0866
1882-10-31,0.0869
1882-11-30,0.0871
1882-12-31,0.0874
1883-01-31,0.0876
1883-02-28,0.0879
1883-03-31,0.0881
1883-04-30,0.0884
1883-05-31,0.0887
1883-06-30,0.089
1883-07-31,0.0893
1883-08-31,0.0895
1883-09-30,0.0898
1883-10-31,0.09
1883-11-30,0.0904
1883-12-31,0.0907
1884-01-31,0.0909
1884-02-29,0.0913
1884-03-31,0.0916
1884-04-30,0.0921
1884-05-31,0.0925
1884-06-30,0.0928
1884-07-31,0.0932
1884-08-31,0.0935
1884-09-30,0.094
1884-10-31,0.0944
1884-11-30,0.0947
1884-12-31,0.0951
1885-01-31,0.0956
1885-02-28,0.096
1885-03-31,0.0964
1885-04-30,0.0968
1885-05-31,0.0974
1885-06-30,0.0978
1885-07-31,0.0982
1885-08-31,0.0987
1885-09-30,0.0992
1885-10-31,0.0996
1885-11-30,0.1
1885-12-31,0.1006
1886-01-31,0.101
1886-02-28,0.1011
1886-03-31,0.1012
1886-04-30,0.1013
1886-05-31,0.1014
1886-06-30,0.1015
1886-07-31,0.1016
1886-08-31,0.1017
1886-09-30,0.1018
1886-10-31,0.1019
1886-11-30,0.102
1886-12-31,0.1021
1887-01-31,0.1022
1887-02-28,0.1023
1887-03-31,0.1024
1887-04-30,0.1025
1887-05-31,0.1026
1887-06-30,0.1027
1887-07-31,0.1028
1887-08-31,0.103
1887-09-30,0.1032
1887-10-31,0.1033
1887-11-30,0.1034
1887-12-31,0.1035
1888-01-31,0.1036
1888-02-29,0.1042
1888-03-31,0.1047
1888-04-30,0.1054
1888-05-31,0.106
1888-06-30,0.1065
1888-07-31,0.1072
1888-08-31,0.1077
1888-09-30,0.1084
1888-10-31,0.109
1888-11-30,0.1095
1888-12-31,0.1102
1889-01-31,0.1108
1889-02-28,0.1111
1889-03-31,0.1114
1889-04-30,0.1119
1889-05-31,0.1122
1889-06-30,0.1125
1889-07-31,0.1129
1889-08-31,0.1132
1889-09-30,0.1137
1889-10-31,0.114
