date,price
1871-01-31,0.1089
1871-02-28,0.1093
1871-03-31,0.1097
1871-04-30,0.1102
1871-05-31,0.1106
1871-06-30,0.111
1871-07-31,0.1115
1871-08-31,0.1119
1871-09-30,0.1124
1871-10-31,0.1128
1871-11-30,0.1133
1871-12-31,0.1137
1872-01-31,0.1142
1872-02-29,0.1144
1872-03-31,0.1146
1872-04-30,0.1148
1872-05-31,0.115
1872-06-30,0.1152
1872-07-31,0.1154
1872-08-31,0.1157
1872-09-30,0.1159
1872-10-31,0.1161
1872-11-30,0.1163
1872-12-31,0.1166
1873-01-31,0.1168
1873-02-28,0.1175
1873-03-31,0.1182
1873-04-30,0.1189
1873-05-31,0.1196
1873-06-30,0.1203
1873-07-31,0.121
1873-08-31,0.1217
1873-09-30,0.1225
1873-10-31,0.1232
1873-11-30,0.1239
1873-12-31,0.1247
1874-01-31,0.1254
1874-02-28,0.1266
1874-03-31,0.1278
1874-04-30,0.1289
1874-05-31,0.1301
1874-06-30,0.1314
1874-07-31,0.1326
1874-08-31,0.1338
1874-09-30,0.135
1874-10-31,0.1363
1874-11-30,0.1375
1874-12-31,0.1388
1875-01-31,0.14
1875-02-28,0.1414
1875-03-31,0.1428
1875-04-30,0.1443
1875-05-31,0.1457
1875-06-30,0.1471
1875-07-31,0.1486
1875-08-31,0.15
1875-09-30,0.1515
1875-10-31,0.153
1875-11-30,0.1545
1875-12-31,0.156
1876-01-31,0.1575
1876-02-29,0.1583
1876-03-31,0.1592
1876-04-30,0.1601
1876-05-31,0.161
1876-06-30,0.1619
1876-07-31,0.1627
1876-08-31,0.1636
1876-09-30,0.1645
1876-10-31,0.1654
1876-11-30,0.1663
1876-12-31,0.1672
1877-01-31,0.1681
1877-02-28,0.169
1877-03-31,0.1698
1877-04-30,0.1707
1877-05-31,0.1715
1877-06-30,0.1724
1877-07-31,0.1732
1877-08-31,0.1741
1877-09-30,0.175
1877-10-31,0.1758
1877-11-30,0.1767
1877-12-31,0.1776
1878-01-31,0.1785
1878-02-28,0.1794
1878-03-31,0.1803
1878-04-30,0.1812
1878-05-31,0.1821
1878-06-30,0.183
1878-07-31,0.184
1878-08-31,0.1849
1878-09-30,0.1858
1878-10-31,0.1867
1878-11-30,0.1877
1878-12-31,0.1886
1879-01-31,0.1895
1879-02-28,0.1907
1879-03-31,0.1918
1879-04-30,0.1929
1879-05-31,0.1941
1879-06-30,0.1952
1879-07-31,0.1963
1879-08-31,0.1975
1879-09-30,0.1986
1879-10-31,0.1998
1879-11-30,0.201
1879-12-31,0.2021
1880-01-31,0.2033
1880-02-29,0.2048
1880-03-31,0.2062
1880-04-30,0.2077
1880-05-31,0.2092
1880-06-30,0.2107
1880-07-31,0.2122
1880-08-31,0.2137
1880-09-30,0.2152
1880-10-31,0.2167
1880-11-30,0.2182
1880-12-31,0.2198
1881-01-31,0.2213
1881-02-28,0.2222
1881-03-31,0.2231
1881-04-30,0.224
1881-05-31,0.2249
1881-06-30,0.2258
1881-07-31,0.2267
1881-08-31,0.2276
1881-09-30,0.2285
1881-10-31,0.2294
1881-11-30,0.2304
1881-12-31,0.2313
1882-01-31,0.2322
1882-02-28,0.2329
1882-03-31,0.2336
1882-04-30,0.2342
1882-05-31,0.2349
1882-06-30,0.2356
1882-07-31,0.2363
1882-08-31,0.237
1882-09-30,0.2376
1882-10-31,0.2383
1882-11-30,0.239
1882-12-31,0.2397
1883-01-31,0.2404
1883-02-28,0.2412
1883-03-31,0.2419
1883-04-30,0.2427
1883-05-31,0.2435
1883-06-30,0.2442
1883-07-31,0.245
1883-08-31,0.2458
1883-09-30,0.2465
1883-10-31,0.2473
1883-11-30,0.2481
1883-12-31,0.2489
1884-01-31,0.2496
1884-02-29,0.2507
1884-03-31,0.2517
1884-04-30,0.2528
1884-05-31,0.2539
1884-06-30,0.2549
1884-07-31,0.256
1884-08-31,0.2571
1884-09-30,0.2582
1884-10-31,0.2592
1884-11-30,0.2603
1884-12-31,0.2614
1885-01-31,0.2625
1885-02-28,0.2637
1885-03-31,0.265
