date,price
2015-01-31,541.8765
2015-02-28,515.6282
2015-03-31,518.9495
2015-04-30,496.9856
2015-05-31,509.9233
2015-06-30,497.9870
2015-07-31,484.8626
2015-08-31,494.2279
2015-09-30,484.2164
2015-10-31,504.2998
2015-11-30,512.6135
2015-12-31,523.7562
2016-01-31,518.9672
2016-02-29,499.3381
2016-03-31,492.1497
2016-04-30,492.8356
2016-05-31,499.2983
2016-06-30,503.9670
2016-07-31,519.5278
2016-08-31,509.8852
2016-09-30,516.9137
2016-10-31,529.7061
2016-11-30,529.0206
2016-12-31,536.8176
2017-01-31,525.6789
2017-02-28,512.9474
2017-03-31,507.7387
2017-04-30,487.2360
2017-05-31,484.6167
2017-06-30,485.4740
2017-07-31,484.3890
2017-08-31,474.1344
2017-09-30,477.6442
2017-10-31,481.2938
2017-11-30,478.5478
2017-12-31,477.2989
2018-01-31,488.6491
2018-02-28,495.6666
2018-03-31,496.8923
2018-04-30,488.4643
2018-05-31,478.2523
2018-06-30,488.8148
2018-07-31,477.9888
2018-08-31,465.7285
2018-09-30,469.6340
2018-10-31,473.9413
2018-11-30,481.5521
2018-12-31,493.3224
2019-01-31,503.4308
2019-02-28,496.6405
2019-03-31,518.2352
2019-04-30,524.6150
2019-05-31,525.5288
2019-06-30,501.7371
2019-07-31,477.6170
2019-08-31,478.5012
2019-09-30,482.9310
2019-10-31,502.4337
2019-11-30,485.1521
2019-12-31,501.2993
2020-01-31,487.3473
2020-02-29,474.9367
2020-03-31,494.6072
2020-04-30,502.0174
2020-05-31,498.0476
2020-06-30,497.0060
2020-07-31,494.1581
2020-08-31,480.3726
2020-09-30,473.4138
2020-10-31,488.5705
2020-11-30,502.4055
2020-12-31,488.4500
2021-01-31,475.2167
2021-02-28,463.4080
2021-03-31,480.4364
2021-04-30,482.0344
2021-05-31,493.5261
2021-06-30,488.5298
2021-07-31,486.8352
2021-08-31,490.1104
2021-09-30,471.3478
2021-10-31,480.4519
2021-11-30,466.1967
2021-12-31,452.5873
2022-01-31,444.3925
2022-02-28,448.6624
2022-03-31,443.9993
2022-04-30,428.2803
2022-05-31,441.6190
2022-06-30,425.9243
2022-07-31,422.5792
2022-08-31,435.7067
2022-09-30,431.2367
2022-10-31,441.0926
2022-11-30,441.3423
2022-12-31,444.8309
2023-01-31,453.5904
2023-02-28,464.8075
2023-03-31,459.4899
2023-04-30,466.8648
2023-05-31,439.4061
2023-06-30,453.4950
2023-07-31,470.9544
2023-08-31,484.3009
2023-09-30,478.8979
2023-10-31,477.2072
2023-11-30,482.6423
2023-12-31,490.8182
2024-01-31,500.5447
2024-02-29,512.4065
2024-03-31,509.6779
2024-04-30,517.4942
2024-05-31,544.6122
2024-06-30,535.2922
2024-07-31,537.0676
2024-08-31,541.9819
2024-09-30,542.4410
2024-10-31,524.0018
2024-11-30,534.9559
2024-12-31,548.4766
