date,price
2015-01-31,313.8399
2015-02-28,316.8179
2015-03-31,321.4311
2015-04-30,323.2060
2015-05-31,330.2366
2015-06-30,333.8665
2015-07-31,329.0699
2015-08-31,326.7196
2015-09-30,326.3283
2015-10-31,330.3236
2015-11-30,325.4348
2015-12-31,328.7726
2016-01-31,329.6905
2016-02-29,336.2145
2016-03-31,336.8114
2016-04-30,339.5075
2016-05-31,343.9928
2016-06-30,346.6175
2016-07-31,349.8554
2016-08-31,352.1434
2016-09-30,354.8913
2016-10-31,351.8660
2016-11-30,352.1763
2016-12-31,349.8178
2017-01-31,354.6490
2017-02-28,362.1787
2017-03-31,362.1573
2017-04-30,360.4944
2017-05-31,359.8660
2017-06-30,361.3335
2017-07-31,363.2982
2017-08-31,362.7568
2017-09-30,362.6725
2017-10-31,366.8172
2017-11-30,364.3659
2017-12-31,359.9918
2018-01-31,363.9843
2018-02-28,360.9677
2018-03-31,359.6655
2018-04-30,350.6022
2018-05-31,352.4269
2018-06-30,351.7217
2018-07-31,353.9781
2018-08-31,353.3628
2018-09-30,354.8799
2018-10-31,358.5093
2018-11-30,353.1632
2018-12-31,360.4225
2019-01-31,360.9960
2019-02-28,366.3445
2019-03-31,363.8300
2019-04-30,366.8783
2019-05-31,364.9998
2019-06-30,364.0916
2019-07-31,368.9317
2019-08-31,368.5985
2019-09-30,374.3746
2019-10-31,374.9598
2019-11-30,377.3148
2019-12-31,380.4809
2020-01-31,375.9383
2020-02-29,384.9477
2020-03-31,381.5247
2020-04-30,390.9301
2020-05-31,386.5667
2020-06-30,390.4873
2020-07-31,390.4153
2020-08-31,393.1358
2020-09-30,394.2652
2020-10-31,406.1649
2020-11-30,415.9108
2020-12-31,418.9180
2021-01-31,422.6671
2021-02-28,429.2370
2021-03-31,425.3474
2021-04-30,428.1610
2021-05-31,430.4643
2021-06-30,435.6028
2021-07-31,439.6516
2021-08-31,445.5606
2021-09-30,452.6675
2021-10-31,452.4433
2021-11-30,445.5949
2021-12-31,441.7611
2022-01-31,446.5752
2022-02-28,446.8223
2022-03-31,439.4661
2022-04-30,443.3648
2022-05-31,445.5112
2022-06-30,459.7278
2022-07-31,464.9793
2022-08-31,472.0217
2022-09-30,474.1698
2022-10-31,478.6630
2022-11-30,474.6119
2022-12-31,475.0576
2023-01-31,472.0368
2023-02-28,472.8719
2023-03-31,477.1970
2023-04-30,487.3452
2023-05-31,487.0150
2023-06-30,494.3868
2023-07-31,491.6652
2023-08-31,490.5182
2023-09-30,495.7750
2023-10-31,494.1728
2023-11-30,486.6504
2023-12-31,488.6723
2024-01-31,486.4679
2024-02-29,496.0299
2024-03-31,499.7754
2024-04-30,509.8055
2024-05-31,507.3304
2024-06-30,505.1920
2024-07-31,511.9321
2024-08-31,516.5504
2024-09-30,504.2832
2024-10-31,500.7777
2024-11-30,499.5816
2024-12-31,497.8105
