date,price
1871-01-31,100
1871-02-28,100.39
1871-03-31,100.7818
1871-04-30,101.1754
1871-05-31,101.5708
1871-06-30,101.9681
1871-07-31,102.3672
1871-08-31,102.7681
1871-09-30,103.1709
1871-10-31,103.5756
1871-11-30,103.9821
1871-12-31,104.3905
1872-01-31,104.8008
1872-02-29,104.9615
1872-03-31,105.1241
1872-04-30,105.2885
1872-05-31,105.4547
1872-06-30,105.6229
1872-07-31,105.7929
1872-08-31,105.9648
1872-09-30,106.1386
1872-10-31,106.3144
1872-11-30,106.492
1872-12-31,106.6715
1873-01-31,106.853
1873-02-28,107.5066
1873-03-31,108.1634
1873-04-30,108.8233
1873-05-31,109.4865
1873-06-30,110.1528
1873-07-31,110.8224
1873-08-31,111.4952
1873-09-30,112.1712
1873-10-31,112.8504
1873-11-30,113.533
1873-12-31,114.2187
1874-01-31,114.9078
1874-02-28,116.0444
1874-03-31,117.189
1874-04-30,118.3417
1874-05-31,119.5025
1874-06-30,120.6713
1874-07-31,121.8481
1874-08-31,123.0331
1874-09-30,124.2262
1874-10-31,125.4274
1874-11-30,126.6367
1874-12-31,127.8542
1875-01-31,129.0798
1875-02-28,130.4513
1875-03-31,131.833
1875-04-30,133.2249
1875-05-31,134.6271
1875-06-30,136.0396
1875-07-31,137.4623
1875-08-31,138.8954
1875-09-30,140.3387
1875-10-31,141.7924
1875-11-30,143.2564
1875-12-31,144.7308
1876-01-31,146.2154
1876-02-29,147.0477
1876-03-31,147.8832
1876-04-30,148.722
1876-05-31,149.5641
1876-06-30,150.4096
1876-07-31,151.2584
1876-08-31,152.1105
1876-09-30,152.9659
1876-10-31,153.8246
1876-11-30,154.6867
1876-12-31,155.552
1877-01-31,156.4208
1877-02-28,157.2302
1877-03-31,158.0427
1877-04-30,158.8582
1877-05-31,159.6766
1877-06-30,160.4981
1877-07-31,161.3225
1877-08-31,162.1499
1877-09-30,162.9804
1877-10-31,163.8139
1877-11-30,164.6503
1877-12-31,165.4898
1878-01-31,166.3323
1878-02-28,167.2
1878-03-31,168.0709
1878-04-30,168.9448
1878-05-31,169.8219
1878-06-30,170.7022
1878-07-31,171.5856
1878-08-31,172.4721
1878-09-30,173.3618
1878-10-31,174.2546
1878-11-30,175.1505
1878-12-31,176.0496
1879-01-31,176.9519
1879-02-28,178.046
1879-03-31,179.1445
1879-04-30,180.2472
1879-05-31,181.3542
1879-06-30,182.4655
1879-07-31,183.5811
1879-08-31,184.701
1879-09-30,185.8251
1879-10-31,186.9534
1879-11-30,188.0861
1879-12-31,189.2229
1880-01-31,190.3641
1880-02-29,191.814
1880-03-31,193.2707
1880-04-30,194.7342
1880-05-31,196.2045
1880-06-30,197.6814
1880-07-31,199.1652
1880-08-31,200.6556
1880-09-30,202.1527
1880-10-31,203.6565
1880-11-30,205.1669
1880-12-31,206.684
1881-01-31,208.2077
1881-02-28,209.0718
1881-03-31,209.9383
1881-04-30,210.8072
1881-05-31,211.6785
1881-06-30,212.5523
1881-07-31,213.4285
1881-08-31,214.3071
1881-09-30,215.1881
1881-10-31,216.0716
1881-11-30,216.9575
1881-12-31,217.8458
1882-01-31,218.7366
1882-02-28,219.3673
1882-03-31,219.9999
1882-04-30,220.6346
1882-05-31,221.2712
1882-06-30,221.9098
1882-07-31,222.5504
1882-08-31,223.193
1882-09-30,223.8376
1882-10-31,224.4843
1882-11-30,225.133
1882-12-31,225.7837
1883-01-31,226.4364
1883-02-28,227.1515
1883-03-31,227.8688
1883-04-30,228.5882
1883-05-31,229.3097
1883-06-30,230.0333
1883-07-31,230.759
1883-08-31,231.4868
1883-09-30,232.2168
1883-10-31,232.949
1883-11-30,233.6832
1883-12-31,234.4197
1884-01-31,235.1582
1884-02-29,236.1812
1884-03-31,237.2069
1884-04-30,238.2355
1884-05-31,239.2668
1884-06-30,240.301
1884-07-31,241.338
1884-08-31,242.3777
1884-09-30,243.4203
1884-10-31,244.4657
1884-11-30,245.5138
1884-12-31,246.5647
1885-01-31,247.6185
1885-02-28,248.84
1885-03-31,250.0651
1885-04-30,251.2935
1885-05-31,252.5254
1885-06-30,253.7606
1885-07-31,254.9993
1885-08-31,256.2414
1885-09-30,257.4868
1885-10-31,258.7356
1885-11-30,259.9878
1885-12-31,261.2433
1886-01-31,262.5022
1886-02-28,262.7144
1886-03-31,262.9295
1886-04-30,263.1475
1886-05-31,263.3684
1886-06-30,263.5923
1886-07-31,263.8191
1886-08-31,264.0488
1886-09-30,264.2815
1886-10-31,264.5172
1886-11-30,264.7558
1886-12-31,264.9974
1887-01-31,265.2419
1887-02-28,265.4895
1887-03-31,265.74
1887-04-30,265.9936
1887-05-31,266.2502
1887-06-30,266.5098
1887-07-31,266.7724
1887-08-31,267.0381
1887-09-30,267.3068
1887-10-31,267.5785
1887-11-30,267.8534
1887-12-31,268.1313
1888-01-31,268.4122
1888-02-29,270.0205
1888-03-31,271.6342
1888-04-30,273.2535
1888-05-31,274.8782
1888-06-30,276.5084
1888-07-31,278.144
1888-08-31,279.785
1888-09-30,281.4315
1888-10-31,283.0833
1888-11-30,284.7406
1888-12-31,286.4031
1889-01-31,288.071
1889-02-28,289.0145
1889-03-31,289.9604
1889-04-30,290.9088
