date,price
1871-02-28,0.5057
1871-03-31,0.5056
1871-04-30,0.5056
1871-05-31,0.5055
1871-06-30,0.5055
1871-07-31,0.5055
1871-08-31,0.5054
1871-09-30,0.5054
1871-10-31,0.5053
1871-11-30,0.5053
1871-12-31,0.5052
1872-01-31,0.5052
1872-02-29,0.5052
1872-03-31,0.5051
1872-04-30,0.5051
1872-05-31,0.505
1872-06-30,0.505
1872-07-31,0.505
1872-08-31,0.5049
1872-09-30,0.5049
1872-10-31,0.5048
1872-11-30,0.5048
1872-12-31,0.5047
1873-01-31,0.5047
1873-02-28,0.5047
1873-03-31,0.5046
1873-04-30,0.5046
1873-05-31,0.5045
1873-06-30,0.5045
1873-07-31,0.5045
1873-08-31,0.5044
1873-09-30,0.5044
1873-10-31,0.5043
1873-11-30,0.5043
1873-12-31,0.5042
1874-01-31,0.5042
1874-02-28,0.5042
1874-03-31,0.5041
1874-04-30,0.5041
1874-05-31,0.504
1874-06-30,0.504
1874-07-31,0.5039
1874-08-31,0.5039
1874-09-30,0.5039
1874-10-31,0.5038
1874-11-30,0.5038
1874-12-31,0.5037
1875-01-31,0.5037
1875-02-28,0.5037
1875-03-31,0.5036
1875-04-30,0.5036
1875-05-31,0.5035
1875-06-30,0.5035
1875-07-31,0.5034
1875-08-31,0.5034
1875-09-30,0.5034
1875-10-31,0.5033
1875-11-30,0.5033
1875-12-31,0.5032
1876-01-31,0.5032
1876-02-29,0.5031
1876-03-31,0.5031
1876-04-30,0.5031
1876-05-31,0.503
1876-06-30,0.503
1876-07-31,0.5029
1876-08-31,0.5029
1876-09-30,0.5029
1876-10-31,0.5028
1876-11-30,0.5028
1876-12-31,0.5027
1877-01-31,0.5027
1877-02-28,0.5026
1877-03-31,0.5026
1877-04-30,0.5026
1877-05-31,0.5025
1877-06-30,0.5025
1877-07-31,0.5024
1877-08-31,0.5024
1877-09-30,0.5024
1877-10-31,0.5023
1877-11-30,0.5023
1877-12-31,0.5022
1878-01-31,0.5022
1878-02-28,0.5021
1878-03-31,0.5021
1878-04-30,0.5021
1878-05-31,0.502
1878-06-30,0.502
1878-07-31,0.5019
1878-08-31,0.5019
1878-09-30,0.5019
1878-10-31,0.5018
1878-11-30,0.5018
1878-12-31,0.5017
1879-01-31,0.5017
1879-02-28,0.5016
1879-03-31,0.5016
1879-04-30,0.5016
1879-05-31,0.5015
1879-06-30,0.5015
1879-07-31,0.5014
1879-08-31,0.5014
1879-09-30,0.5013
1879-10-31,0.5013
1879-11-30,0.5013
1879-12-31,0.5012
1880-01-31,0.5012
1880-02-29,0.5011
1880-03-31,0.5011
1880-04-30,0.5011
1880-05-31,0.501
1880-06-30,0.501
1880-07-31,0.5009
1880-08-31,0.5009
1880-09-30,0.5008
1880-10-31,0.5008
1880-11-30,0.5008
1880-12-31,0.5007
1881-01-31,0.5007
1881-02-28,0.5006
1881-03-31,0.5006
1881-04-30,0.5006
1881-05-31,0.5005
1881-06-30,0.5005
1881-07-31,0.5004
1881-08-31,0.5004
1881-09-30,0.5003
1881-10-31,0.5003
1881-11-30,0.5003
1881-12-31,0.5002
1882-01-31,0.5002
1882-02-28,0.5001
1882-03-31,0.5001
1882-04-30,0.5001
1882-05-31,0.5
1882-06-30,0.5
1882-07-31,0.4999
1882-08-31,0.4999
1882-09-30,0.4998
1882-10-31,0.4998
1882-11-30,0.4998
1882-12-31,0.4997
1883-01-31,0.4997
1883-02-28,0.4996
1883-03-31,0.4996
1883-04-30,0.4996
1883-05-31,0.4995
1883-06-30,0.4995
1883-07-31,0.4994
1883-08-31,0.4994
1883-09-30,0.4993
1883-10-31,0.4993
1883-11-30,0.4993
1883-12-31,0.4992
1884-01-31,0.4992
1884-02-29,0.4991
1884-03-31,0.4991
1884-04-30,0.4991
1884-05-31,0.499
1884-06-30,0.499
1884-07-31,0.4989
1884-08-31,0.4989
1884-09-30,0.4988
1884-10-31,0.4988
