date,price
1871-02-28,0.579
1871-03-31,0.5789
1871-04-30,0.5788
1871-05-31,0.5786
1871-06-30,0.5785
1871-07-31,0.5784
1871-08-31,0.5783
1871-09-30,0.5782
1871-10-31,0.578
1871-11-30,0.5779
1871-12-31,0.5778
1872-01-31,0.5777
1872-02-29,0.5776
1872-03-31,0.5774
1872-04-30,0.5773
1872-05-31,0.5772
1872-06-30,0.5771
1872-07-31,0.577
1872-08-31,0.5768
1872-09-30,0.5767
1872-10-31,0.5766
1872-11-30,0.5765
1872-12-31,0.5764
1873-01-31,0.5762
1873-02-28,0.5761
1873-03-31,0.576
1873-04-30,0.5759
1873-05-31,0.5758
1873-06-30,0.5756
1873-07-31,0.5755
1873-08-31,0.5754
1873-09-30,0.5753
1873-10-31,0.5752
1873-11-30,0.575
1873-12-31,0.5749
1874-01-31,0.5748
1874-02-28,0.5747
1874-03-31,0.5746
1874-04-30,0.5744
1874-05-31,0.5743
1874-06-30,0.5742
1874-07-31,0.5741
1874-08-31,0.574
1874-09-30,0.5738
1874-10-31,0.5737
1874-11-30,0.5736
1874-12-31,0.5735
1875-01-31,0.5734
1875-02-28,0.5732
1875-03-31,0.5731
1875-04-30,0.573
1875-05-31,0.5729
1875-06-30,0.5728
1875-07-31,0.5726
1875-08-31,0.5725
1875-09-30,0.5724
1875-10-31,0.5723
1875-11-30,0.5722
1875-12-31,0.5721
1876-01-31,0.5719
1876-02-29,0.5718
1876-03-31,0.5717
1876-04-30,0.5716
1876-05-31,0.5715
1876-06-30,0.5713
1876-07-31,0.5712
1876-08-31,0.5711
1876-09-30,0.571
1876-10-31,0.5709
1876-11-30,0.5707
1876-12-31,0.5706
1877-01-31,0.5705
1877-02-28,0.5704
1877-03-31,0.5703
1877-04-30,0.5701
1877-05-31,0.57
1877-06-30,0.5699
1877-07-31,0.5698
1877-08-31,0.5697
1877-09-30,0.5696
1877-10-31,0.5694
1877-11-30,0.5693
1877-12-31,0.5692
1878-01-31,0.5691
1878-02-28,0.569
1878-03-31,0.5688
1878-04-30,0.5687
1878-05-31,0.5686
1878-06-30,0.5685
1878-07-31,0.5684
1878-08-31,0.5683
1878-09-30,0.5681
1878-10-31,0.568
1878-11-30,0.5679
1878-12-31,0.5678
1879-01-31,0.5677
1879-02-28,0.5675
1879-03-31,0.5674
