date,price
2015-01-31,1424.1092
2015-02-28,1416.6900
2015-03-31,1396.9951
2015-04-30,1476.9466
2015-05-31,1533.8042
2015-06-30,1494.1082
2015-07-31,1441.3826
2015-08-31,1469.2637
2015-09-30,1457.0900
2015-10-31,1529.2447
2015-11-30,1513.4188
2015-12-31,1639.5399
2016-01-31,1584.4713
2016-02-29,1611.9078
2016-03-31,1644.7719
2016-04-30,1679.8965
2016-05-31,1823.0552
2016-06-30,1899.4765
2016-07-31,1736.3654
2016-08-31,1723.8073
2016-09-30,1733.7389
2016-10-31,1581.8253
2016-11-30,1758.2937
2016-12-31,1936.8911
2017-01-31,1955.7608
2017-02-28,1938.5511
2017-03-31,2024.6508
2017-04-30,2107.6301
2017-05-31,2083.2960
2017-06-30,1909.2178
2017-07-31,1904.4548
2017-08-31,1880.2512
2017-09-30,1898.1020
2017-10-31,2011.1817
2017-11-30,2059.8743
2017-12-31,1951.7636
2018-01-31,1951.0578
2018-02-28,2032.5419
2018-03-31,2118.7374
2018-04-30,2192.7155
2018-05-31,2115.4909
2018-06-30,2050.9828
2018-07-31,2205.1097
2018-08-31,2254.5239
2018-09-30,2273.8148
2018-10-31,2436.1403
2018-11-30,2698.6134
2018-12-31,2581.0841
2019-01-31,2638.9266
2019-02-28,2746.3411
2019-03-31,2982.5802
2019-04-30,2888.9256
2019-05-31,2774.9847
2019-06-30,2641.9745
2019-07-31,2632.4844
2019-08-31,2784.0360
2019-09-30,2773.1741
2019-10-31,2808.9492
2019-11-30,2870.7647
2019-12-31,2795.5498
2020-01-31,2833.2417
2020-02-29,2966.9244
2020-03-31,2689.2584
2020-04-30,2620.3826
2020-05-31,2580.6435
2020-06-30,2853.1097
2020-07-31,2814.8242
2020-08-31,2760.1780
2020-09-30,2680.3029
2020-10-31,2547.7057
2020-11-30,2723.1936
2020-12-31,2697.4414
2021-01-31,2515.2827
2021-02-28,2458.3851
2021-03-31,2547.2925
2021-04-30,2542.6357
2021-05-31,2409.6826
2021-06-30,2516.4491
2021-07-31,2696.1879
2021-08-31,2602.6051
2021-09-30,2493.8498
2021-10-31,2501.4950
2021-11-30,2546.7440
2021-12-31,2713.4254
2022-01-31,2661.1682
2022-02-28,2789.3185
2022-03-31,2844.1279
2022-04-30,2770.9815
2022-05-31,2813.1490
2022-06-30,2714.9170
2022-07-31,2374.9811
2022-08-31,2467.9238
2022-09-30,2469.1407
2022-10-31,2675.5262
2022-11-30,2794.1929
2022-12-31,2819.0718
2023-01-31,2887.3011
2023-02-28,3029.5002
2023-03-31,3064.6852
2023-04-30,3007.7510
2023-05-31,3076.0841
2023-06-30,3289.9210
2023-07-31,3148.8354
2023-08-31,3416.5746
2023-09-30,3509.7694
2023-10-31,3486.2812
2023-11-30,3452.9217
2023-12-31,3507.8794
2024-01-31,3354.2765
2024-02-29,3408.8670
2024-03-31,3088.3823
2024-04-30,3126.9900
2024-05-31,3286.4394
2024-06-30,3238.4345
2024-07-31,3105.6251
2024-08-31,3087.2813
2024-09-30,3324.0209
2024-10-31,3106.3005
2024-11-30,3236.8869
2024-12-31,3375.7429
