date,price
2015-01-31,959.3028
2015-02-28,1008.5274
2015-03-31,960.5660
2015-04-30,1063.0935
2015-05-31,1092.8701
2015-06-30,1121.8491
2015-07-31,1053.3115
2015-08-31,1026.3266
2015-09-30,994.1078
2015-10-31,1031.5273
2015-11-30,1056.6292
2015-12-31,1089.6783
2016-01-31,1143.8075
2016-02-29,1176.4523
2016-03-31,1253.1866
2016-04-30,1074.1196
2016-05-31,1144.5989
2016-06-30,1058.3861
2016-07-31,1057.1485
2016-08-31,1123.8768
2016-09-30,1135.3140
2016-10-31,1171.7390
2016-11-30,1200.7079
2016-12-31,1255.1529
2017-01-31,1264.1509
2017-02-28,1336.0474
2017-03-31,1431.5101
2017-04-30,1413.3057
2017-05-31,1302.0326
2017-06-30,1173.5406
2017-07-31,1196.5633
2017-08-31,1264.5596
2017-09-30,1262.6171
2017-10-31,1336.9788
2017-11-30,1347.8445
2017-12-31,1540.8154
2018-01-31,1597.1650
2018-02-28,1464.5102
2018-03-31,1509.8969
2018-04-30,1605.3254
2018-05-31,1482.7731
2018-06-30,1471.4755
2018-07-31,1429.2731
2018-08-31,1546.3418
2018-09-30,1573.9715
2018-10-31,1421.7001
2018-11-30,1331.5546
2018-12-31,1383.6426
2019-01-31,1567.0901
2019-02-28,1567.4641
2019-03-31,1497.8201
2019-04-30,1558.8700
2019-05-31,1610.5851
2019-06-30,1469.9314
2019-07-31,1577.4658
2019-08-31,1817.8082
2019-09-30,1884.6656
2019-10-31,2032.1766
2019-11-30,1825.3918
2019-12-31,1826.7953
2020-01-31,2177.5787
2020-02-29,2228.3733
2020-03-31,2272.0656
2020-04-30,2066.7418
2020-05-31,2117.2261
2020-06-30,1999.4341
2020-07-31,2136.4956
2020-08-31,2178.1451
2020-09-30,2171.2472
2020-10-31,2208.0634
2020-11-30,2258.7583
2020-12-31,2098.3311
2021-01-31,2328.0119
2021-02-28,2496.7393
2021-03-31,2167.8436
2021-04-30,2138.5398
2021-05-31,2188.8709
2021-06-30,2072.0801
2021-07-31,2007.7555
2021-08-31,1926.6527
2021-09-30,1992.2384
2021-10-31,2244.5080
2021-11-30,2149.1454
2021-12-31,2163.6461
2022-01-31,2289.3757
2022-02-28,2406.5891
2022-03-31,2662.0033
2022-04-30,2985.3476
2022-05-31,3361.7120
2022-06-30,3643.9854
2022-07-31,3929.6439
2022-08-31,4209.6289
2022-09-30,4002.4931
2022-10-31,4143.5291
2022-11-30,4780.7450
2022-12-31,4793.4920
2023-01-31,5220.8940
2023-02-28,4965.2120
2023-03-31,5090.3584
2023-04-30,5013.2108
2023-05-31,5431.6324
2023-06-30,5911.7452
2023-07-31,5890.5443
2023-08-31,5697.6764
2023-09-30,5815.0391
2023-10-31,5383.2530
2023-11-30,5795.7129
2023-12-31,5219.6609
2024-01-31,5736.5000
2024-02-29,5959.4097
2024-03-31,6050.4558
2024-04-30,6448.6453
2024-05-31,5930.5814
2024-06-30,6493.1303
2024-07-31,6391.9998
2024-08-31,6897.2798
2024-09-30,7056.6653
2024-10-31,6821.4086
2024-11-30,6496.0156
2024-12-31,6417.0709
