date,price
1990-07-31,8.2921
1990-08-31,7.4219
1990-09-30,6.3863
1990-10-31,7.3899
1990-11-30,6.839
1990-12-31,6.9099
1991-01-31,7.0422
1991-02-28,7.7807
1991-03-31,7.4443
1991-04-30,7.5541
1991-05-31,7.5259
1991-06-30,7.0515
1991-07-31,7.2994
1991-08-31,7.0896
1991-09-30,7.5147
1991-10-31,7.6518
1991-11-30,7.2552
1991-12-31,7.5596
1992-01-31,7.3574
1992-02-29,7.104
1992-03-31,6.6079
1992-04-30,6.5541
1992-05-31,7.006
1992-06-30,6.7052
1992-07-31,6.4937
1992-08-31,6.8909
1992-09-30,6.7004
1992-10-31,6.3336
1992-11-30,6.3631
1992-12-31,6.3946
1993-01-31,6.4027
1993-02-28,6.6207
1993-03-31,7.2997
1993-04-30,8.0009
1993-05-31,8.2822
1993-06-30,8.0093
1993-07-31,8.343
1993-08-31,8.7648
1993-09-30,8.5182
1993-10-31,8.6166
1993-11-30,7.852
1993-12-31,8.3205
1994-01-31,9.1887
1994-02-28,9.1763
1994-03-31,8.9154
1994-04-30,9.2297
1994-05-31,9.1924
1994-06-30,9.3896
1994-07-31,9.4334
1994-08-31,9.5688
1994-09-30,9.3034
1994-10-31,9.5718
1994-11-30,9.047
1994-12-31,9.1497
1995-01-31,8.7623
1995-02-28,8.6866
1995-03-31,9.2083
1995-04-30,9.5209
1995-05-31,9.3806
1995-06-30,9.262
1995-07-31,9.7478
1995-08-31,9.4707
1995-09-30,9.5602
1995-10-31,9.3839
1995-11-30,9.5852
1995-12-31,9.9156
1996-01-31,9.9836
1996-02-29,10.032
1996-03-31,10.2202
1996-04-30,10.599
1996-05-31,10.4989
1996-06-30,10.5163
1996-07-31,10.1888
1996-08-31,10.1945
1996-09-30,10.4276
1996-10-31,10.3009
1996-11-30,10.6435
1996-12-31,10.4898
1997-01-31,10.117
1997-02-28,10.245
1997-03-31,10.1913
1997-04-30,10.2439
1997-05-31,11.0547
1997-06-30,11.5385
1997-07-31,11.6627
1997-08-31,10.9006
1997-09-30,11.4539
1997-10-31,10.6665
1997-11-30,10.4603
1997-12-31,10.4305
1998-01-31,10.8755
1998-02-28,11.572
1998-03-31,11.9453
1998-04-30,12.0632
1998-05-31,12.0639
1998-06-30,12.0175
1998-07-31,12.0782
1998-08-31,10.6743
1998-09-30,10.3451
1998-10-31,11.3419
1998-11-30,11.8382
1998-12-31,12.1775
1999-01-31,12.2366
1999-02-28,11.9877
1999-03-31,12.4943
1999-04-30,13.1035
1999-05-31,12.5892
1999-06-30,13.2081
1999-07-31,13.6619
1999-08-31,13.9072
1999-09-30,14.1931
1999-10-31,14.6892
1999-11-30,15.3922
1999-12-31,16.6306
2000-01-31,15.6621
2000-02-29,16.2315
2000-03-31,16.6966
2000-04-30,15.6624
2000-05-31,15.275
2000-06-30,15.8212
2000-07-31,15.2051
2000-08-31,15.4706
2000-09-30,14.7351
2000-10-31,14.1583
2000-11-30,13.6339
2000-12-31,13.8896
2001-01-31,14.0196
2001-02-28,12.9704
