date,price
1989-07-31,3.2234
1989-08-31,3.2996
1989-09-30,3.7962
1989-10-31,3.7391
1989-11-30,3.7915
1989-12-31,4.0771
1990-01-31,4.1417
1990-02-28,4.3207
1990-03-31,4.129
1990-04-30,4.111
1990-05-31,4.4729
1990-06-30,4.664
1990-07-31,5.028
1990-08-31,4.3926
1990-09-30,3.9078
1990-10-31,3.9736
1990-11-30,3.8252
1990-12-31,3.8532
1991-01-31,3.9508
1991-02-28,4.4558
1991-03-31,4.5803
1991-04-30,4.607
1991-05-31,4.8352
1991-06-30,4.6681
1991-07-31,4.7368
1991-08-31,4.7626
1991-09-30,4.6175
1991-10-31,4.8568
1991-11-30,4.8516
1991-12-31,5.2831
1992-01-31,5.7581
1992-02-29,6.0313
1992-03-31,5.8915
1992-04-30,5.8535
1992-05-31,5.8338
1992-06-30,5.4023
1992-07-31,5.3922
1992-08-31,5.2096
1992-09-30,5.1593
1992-10-31,5.3977
1992-11-30,5.371
1992-12-31,5.4914
1993-01-31,5.4565
1993-02-28,5.6383
1993-03-31,5.8325
1993-04-30,6.0846
1993-05-31,6.3476
1993-06-30,6.3783
1993-07-31,6.6133
1993-08-31,7.1756
1993-09-30,7.5245
1993-10-31,8.2493
1993-11-30,8.766
1993-12-31,10.3843
1994-01-31,10.2694
1994-02-28,10.166
1994-03-31,9.0116
1994-04-30,8.9884
1994-05-31,9.1568
1994-06-30,8.8824
1994-07-31,9.461
1994-08-31,10.6126
1994-09-30,10.8857
1994-10-31,10.5759
1994-11-30,10.1173
1994-12-31,9.199
1995-01-31,8.0605
1995-02-28,8.1035
1995-03-31,8.0924
1995-04-30,8.3023
1995-05-31,8.7841
1995-06-30,8.8301
1995-07-31,9.0961
1995-08-31,8.8781
1995-09-30,8.8376
1995-10-31,8.5286
1995-11-30,8.4325
1995-12-31,8.722
1996-01-31,9.4959
1996-02-29,9.275
1996-03-31,9.3866
1996-04-30,9.6243
1996-05-31,9.4938
1996-06-30,9.5995
1996-07-31,9.0795
1996-08-31,9.354
1996-09-30,9.4946
1996-10-31,9.325
1996-11-30,9.4642
1996-12-31,9.5261
1997-01-31,10.1989
1997-02-28,10.7254
1997-03-31,10.4941
1997-04-30,10.2836
1997-05-31,10.6099
1997-06-30,11.112
1997-07-31,11.1991
1997-08-31,9.943
1997-09-30,10.1154
1997-10-31,8.5085
1997-11-30,8.0485
1997-12-31,8.0512
1998-01-31,7.5539
1998-02-28,8.351
1998-03-31,8.692
1998-04-30,8.7583
1998-05-31,7.8461
1998-06-30,7.0453
1998-07-31,7.2034
1998-08-31,5.436
1998-09-30,5.6558
1998-10-31,6.1124
1998-11-30,6.505
1998-12-31,6.392
1999-01-31,6.2925
1999-02-28,6.3059
1999-03-31,6.8806
1999-04-30,7.6156
1999-05-31,7.705
1999-06-30,8.5219
1999-07-31,8.4029
1999-08-31,8.6376
1999-09-30,8.377
1999-10-31,8.6554
1999-11-30,9.4061
1999-12-31,10.5172
2000-01-31,10.6037
2000-02-29,10.9147
2000-03-31,10.985
2000-04-30,9.7903
2000-05-31,9.535
2000-06-30,9.7461
2000-07-31,9.2922
2000-08-31,9.2935
2000-09-30,8.4343
2000-10-31,7.705
2000-11-30,7.0542
2000-12-31,7.1454
2001-01-31,8.0031
2001-02-28,7.4808
2001-03-31,6.8692
2001-04-30,7.1386
2001-05-31,7.2139
2001-06-30,7.0842
2001-07-31,6.6134
2001-08-31,6.5118
2001-09-30,5.5737
2001-10-31,5.8687
2001-11-30,6.4452
2001-12-31,6.9758
2002-01-31,7.1902
2002-02-28,7.2839
2002-03-31,7.7648
2002-04-30,7.7861
2002-05-31,7.6197
2002-06-30,7.0584
2002-07-31,6.6289
2002-08-31,6.7033
2002-09-30,5.9662
2002-10-31,6.3285
2002-11-30,6.7154
2002-12-31,6.5303
2003-01-31,6.5364
2003-02-28,6.3464
2003-03-31,6.1422
2003-04-30,6.7142
2003-05-31,7.1952
2003-06-30,7.625
2003-07-31,8.0133
2003-08-31,8.5392
2003-09-30,8.683
2003-10-31,9.3318
2003-11-30,9.445
2003-12-31,10.1452
2004-01-31,10.5127
2004-02-29,10.9988
2004-03-31,11.1828
2004-04-30,10.4149
2004-05-31,10.2112
2004-06-30,10.2687
2004-07-31,10.0801
2004-08-31,10.4967
2004-09-30,11.1205
2004-10-31,11.4434
2004-11-30,12.4232
2004-12-31,13.1156
2005-01-31,13.2235
2005-02-28,14.3611
2005-03-31,13.5187
2005-04-30,13.169036865234375
2005-05-31,13.55182933807373
2005-06-30,14.020316123962402
2005-07-31,14.997281074523926
2005-08-31,15.211533546447754
2005-09-30,16.46272850036621
2005-10-31,15.531478881835938
2005-11-30,16.614131927490234
2005-12-31,17.391132354736328
2006-01-31,19.757211685180664
2006-02-28,19.332767486572266
2006-03-31,19.55951690673828
2006-04-30,21.085800170898438
2006-05-31,18.704811096191406
2006-06-30,18.6873722076416
2006-07-31,19.033327102661133
2006-08-31,19.315326690673828
2006-09-30,19.51881980895996
2006-10-31,20.510177612304688
2006-11-30,22.013193130493164
2006-12-31,22.49868392944336
2007-01-31,22.914079666137695
2007-02-28,22.381542205810547
2007-03-31,23.334192276000977
2007-04-30,24.221773147583008
2007-05-31,25.83418846130371
2007-06-30,27.008729934692383
2007-07-31,27.95843505859375
2007-08-31,27.95547103881836
2007-09-30,30.7039794921875
2007-10-31,34.69804382324219
2007-11-30,31.73948097229004
2007-12-31,30.85782241821289
2008-01-31,28.60288429260254
2008-02-29,29.425777435302734
2008-03-31,28.343656539916992
2008-04-30,30.734012603759766
2008-05-31,31.282621383666992
2008-06-30,28.214027404785156
2008-07-31,26.881710052490234
2008-08-31,24.753597259521484
2008-09-30,20.89527130126953
2008-10-31,15.198204040527344
2008-11-30,13.88395881652832
2008-12-31,14.209504127502441
2009-01-31,13.614825248718262
2009-02-28,13.291419982910156
2009-03-31,14.940163612365723
2009-04-30,17.54645538330078
2009-05-31,20.68541145324707
2009-06-30,20.1780948638916
2009-07-31,22.3785457611084
2009-08-31,22.220006942749023
2009-09-30,24.433141708374023
2009-10-31,23.843385696411133
2009-11-30,25.55554962158203
2009-12-31,25.999439239501953
2010-01-31,24.578351974487305
2010-02-28,25.041120529174805
2010-03-31,27.091468811035156
2010-04-30,27.03362274169922
2010-05-31,24.552648544311523
2010-06-30,24.417665481567383
2010-07-31,26.911487579345703
2010-08-31,26.223764419555664
2010-09-30,29.218935012817383
2010-10-31,30.125200271606445
2010-11-30,29.270353317260742
2010-12-31,30.947895050048828
2011-01-31,30.40058708190918
2011-02-28,30.348281860351562
2011-03-31,32.00923538208008
2011-04-30,33.08819580078125
2011-05-31,32.11386489868164
2011-06-30,31.79343605041504
2011-07-31,31.59725570678711
2011-08-31,28.72657012939453
2011-09-30,23.42984390258789
2011-10-31,27.157163619995117
2011-11-30,26.692880630493164
2011-12-31,24.986167907714844
2012-01-31,28.340532302856445
2012-02-29,29.880430221557617
2012-03-31,29.10379981994629
2012-04-30,28.494524002075195
2012-05-31,25.454927444458008
2012-06-30,26.733694076538086
2012-07-31,26.78725814819336
2012-08-31,26.854209899902344
2012-09-30,27.93212890625
2012-10-31,28.124345779418945
2012-11-30,28.483610153198242
2012-12-31,30.185028076171875
2013-01-31,30.51711654663086
2013-02-28,29.79802131652832
2013-03-31,29.38025665283203
2013-04-30,30.010414123535156
2013-05-31,28.48795509338379
2013-06-30,26.60201644897461
2013-07-31,27.15013885498047
2013-08-31,26.218725204467773
2013-09-30,27.893888473510742
2013-10-31,29.345659255981445
2013-11-30,29.07232666015625
2013-12-31,28.834022521972656
2014-01-31,26.544437408447266
2014-02-28,27.404111862182617
2014-03-31,28.594987869262695
2014-04-30,28.92655372619629
2014-05-31,29.823883056640625
2014-06-30,30.473922729492188
2014-07-31,31.191133499145508
2014-08-31,32.38969802856445
2014-09-30,29.75714874267578
2014-10-31,30.739164352416992
2014-11-30,30.40032958984375
2014-12-31,28.85041046142578
2015-01-31,28.91958236694336
2015-02-28,30.26636505126953
2015-03-31,29.592973709106445
2015-04-30,31.842060089111328
2015-05-31,30.710552215576172
2015-06-30,29.651569366455078
2015-07-31,28.052410125732422
2015-08-31,25.285234451293945
2015-09-30,24.223756790161133
2015-10-31,25.855297088623047
2015-11-30,25.26160430908203
2015-12-31,24.27459144592285
2016-01-31,22.991413116455078
2016-02-29,22.916833877563477
2016-03-31,25.7879695892334
2016-04-30,26.09348487854004
2016-05-31,25.249351501464844
2016-06-30,26.317590713500977
2016-07-31,27.8536376953125
2016-08-31,28.071714401245117
2016-09-30,28.29730796813965
2016-10-31,28.730295181274414
2016-11-30,27.565866470336914
2016-12-31,27.23099708557129
2017-01-31,28.93771743774414
2017-02-28,29.587745666503906
2017-03-31,30.37543487548828
2017-04-30,30.904468536376953
2017-05-31,31.210918426513672
2017-06-30,31.279865264892578
2017-07-31,33.15694808959961
2017-08-31,34.15141296386719
2017-09-30,33.58865737915039
2017-10-31,34.8090705871582
2017-11-30,34.69207000732422
2017-12-31,35.80739974975586
2018-01-31,39.057289123535156
2018-02-28,36.964935302734375
2018-03-31,36.8160400390625
2018-04-30,35.86688232421875
2018-05-31,35.0267448425293
2018-06-30,33.13447189331055
2018-07-31,34.67679977416992
2018-08-31,33.22270584106445
2018-09-30,32.400821685791016
2018-10-31,30.265478134155273
2018-11-30,31.728391647338867
2018-12-31,30.457338333129883
2019-01-31,33.6291389465332
2019-02-28,33.5003547668457
2019-03-31,34.20867919921875
2019-04-30,35.00973892211914
2019-05-31,32.7757682800293
2019-06-30,34.30002975463867
2019-07-31,33.91115188598633
2019-08-31,32.8067741394043
2019-09-30,32.693077087402344
2019-10-31,34.413055419921875
2019-11-30,34.58574295043945
2019-12-31,36.567474365234375
2020-01-31,34.98209762573242
2020-02-29,33.741363525390625
2020-03-31,27.9373836517334
2020-04-30,30.17531394958496
2020-05-31,31.1680908203125
2020-06-30,33.045196533203125
2020-07-31,36.03556442260742
2020-08-31,37.02421951293945
2020-09-30,36.228267669677734
2020-10-31,37.06370544433594
2020-11-30,40.23624038696289
2020-12-31,42.3935661315918
2021-01-31,43.98644256591797
2021-02-28,44.675865173339844
2021-03-31,44.301361083984375
2021-04-30,45.15104675292969
2021-05-31,45.918060302734375
2021-06-30,46.28451919555664
2021-07-31,43.785865783691406
2021-08-31,44.745365142822266
2021-09-30,42.84349060058594
2021-10-31,43.80304718017578
2021-11-30,42.532012939453125
2021-12-31,42.76546859741211
2022-01-31,43.37047576904297
2022-02-28,41.75510787963867
2022-03-31,40.27944564819336
2022-04-30,38.04023361206055
2022-05-31,38.21537399291992
2022-06-30,36.47273635864258
2022-07-31,36.45286560058594
2022-08-31,36.28524398803711
2022-09-30,32.19179916381836
2022-10-31,31.69698143005371
2022-11-30,36.230224609375
2022-12-31,34.853267669677734
2023-01-31,38.3759651184082
2023-02-28,35.82242202758789
2023-03-31,36.712974548339844
2023-04-30,36.59402847290039
2023-05-31,35.5118522644043
