date,rate
2015-01-31,0.8153
2015-02-28,0.8031
2015-03-31,0.8161
2015-04-30,0.8023
2015-05-31,0.7960
2015-06-30,0.7812
2015-07-31,0.7827
2015-08-31,0.7935
2015-09-30,0.7751
2015-10-31,0.7628
2015-11-30,0.7833
2015-12-31,0.7501
2016-01-31,0.7677
2016-02-29,0.7609
2016-03-31,0.7625
2016-04-30,0.7745
2016-05-31,0.7582
2016-06-30,0.7573
2016-07-31,0.7383
2016-08-31,0.7288
2016-09-30,0.7387
2016-10-31,0.7324
2016-11-30,0.7265
2016-12-31,0.7427
2017-01-31,0.7424
2017-02-28,0.7239
2017-03-31,0.7492
2017-04-30,0.7297
2017-05-31,0.7312
2017-06-30,0.7464
2017-07-31,0.7433
2017-08-31,0.7408
2017-09-30,0.7476
2017-10-31,0.7381
2017-11-30,0.7394
2017-12-31,0.7274
2018-01-31,0.7073
2018-02-28,0.6938
2018-03-31,0.6922
2018-04-30,0.6908
2018-05-31,0.6745
2018-06-30,0.6803
2018-07-31,0.6950
2018-08-31,0.7082
2018-09-30,0.7070
2018-10-31,0.7028
2018-11-30,0.7053
2018-12-31,0.7199
2019-01-31,0.7510
2019-02-28,0.7550
2019-03-31,0.7666
2019-04-30,0.7769
2019-05-31,0.7814
2019-06-30,0.7792
2019-07-31,0.7596
2019-08-31,0.7651
2019-09-30,0.7462
2019-10-31,0.7526
2019-11-30,0.7677
2019-12-31,0.7579
2020-01-31,0.7703
2020-02-29,0.7882
2020-03-31,0.7940
2020-04-30,0.7948
2020-05-31,0.8029
2020-06-30,0.8021
2020-07-31,0.8020
2020-08-31,0.8039
2020-09-30,0.7874
2020-10-31,0.7906
2020-11-30,0.7861
2020-12-31,0.7679
2021-01-31,0.7828
2021-02-28,0.7913
2021-03-31,0.7978
2021-04-30,0.8102
2021-05-31,0.8172
2021-06-30,0.8360
2021-07-31,0.8400
2021-08-31,0.8518
2021-09-30,0.8476
2021-10-31,0.8422
2021-11-30,0.8606
2021-12-31,0.8611
2022-01-31,0.8812
2022-02-28,0.8876
2022-03-31,0.8858
2022-04-30,0.8758
2022-05-31,0.8810
2022-06-30,0.8820
2022-07-31,0.8906
2022-08-31,0.8653
2022-09-30,0.8906
2022-10-31,0.8819
2022-11-30,0.8913
2022-12-31,0.9046
2023-01-31,0.8995
2023-02-28,0.8842
2023-03-31,0.8821
2023-04-30,0.9012
2023-05-31,0.9130
2023-06-30,0.9026
2023-07-31,0.9033
2023-08-31,0.9051
2023-09-30,0.9239
2023-10-31,0.9180
2023-11-30,0.9221
2023-12-31,0.8984
2024-01-31,0.9075
2024-02-29,0.9170
2024-03-31,0.9215
2024-04-30,0.9145
2024-05-31,0.9347
2024-06-30,0.9432
2024-07-31,0.9428
2024-08-31,0.9186
2024-09-30,0.9286
2024-10-31,0.9247
2024-11-30,0.9246
2024-12-31,0.9251
