date,rate
2015-01-31,125.1823
2015-02-28,127.5653
2015-03-31,125.9902
2015-04-30,125.0247
2015-05-31,122.0633
2015-06-30,122.9644
2015-07-31,124.3126
2015-08-31,122.6622
2015-09-30,121.7903
2015-10-31,120.9679
2015-11-30,120.5414
2015-12-31,118.8482
2016-01-31,111.4659
2016-02-29,113.0907
2016-03-31,111.0109
2016-04-30,108.8573
2016-05-31,106.8929
2016-06-30,110.0890
2016-07-31,109.6167
2016-08-31,112.1435
2016-09-30,113.2850
2016-10-31,114.4265
2016-11-30,114.6918
2016-12-31,116.0841
2017-01-31,114.6220
2017-02-28,115.3712
2017-03-31,114.4918
2017-04-30,113.4371
2017-05-31,111.9297
2017-06-30,114.1131
2017-07-31,114.7003
2017-08-31,113.6197
2017-09-30,112.2992
2017-10-31,112.0788
2017-11-30,113.9545
2017-12-31,119.8499
2018-01-31,116.6800
2018-02-28,118.2356
2018-03-31,117.5686
2018-04-30,119.9030
2018-05-31,113.9936
2018-06-30,114.4797
2018-07-31,114.1380
2018-08-31,113.5317
2018-09-30,113.7296
2018-10-31,117.9925
2018-11-30,116.5914
2018-12-31,118.4740
2019-01-31,118.6908
2019-02-28,112.3764
2019-03-31,112.0302
2019-04-30,111.9572
2019-05-31,111.9649
2019-06-30,111.6582
2019-07-31,113.0617
2019-08-31,114.8152
2019-09-30,114.2894
2019-10-31,114.9548
2019-11-30,118.2917
2019-12-31,119.2534
2020-01-31,118.9627
2020-02-29,114.5483
2020-03-31,117.2570
2020-04-30,115.6160
2020-05-31,112.5388
2020-06-30,116.4658
2020-07-31,115.1621
2020-08-31,118.0975
2020-09-30,117.9611
2020-10-31,120.6339
2020-11-30,119.7977
2020-12-31,119.5644
2021-01-31,119.4349
2021-02-28,117.0973
2021-03-31,113.0788
2021-04-30,117.6968
2021-05-31,115.7805
2021-06-30,115.4155
2021-07-31,117.0526
2021-08-31,117.3195
2021-09-30,117.5454
2021-10-31,113.9759
2021-11-30,116.1533
2021-12-31,112.9281
2022-01-31,111.0681
2022-02-28,112.4412
2022-03-31,111.0706
2022-04-30,113.0301
2022-05-31,117.4005
2022-06-30,116.5942
2022-07-31,112.2791
2022-08-31,107.3134
2022-09-30,107.7334
2022-10-31,107.4981
2022-11-30,108.1789
2022-12-31,107.2886
2023-01-31,103.5762
2023-02-28,106.7642
2023-03-31,108.9734
2023-04-30,109.9730
2023-05-31,108.6550
2023-06-30,106.4606
2023-07-31,109.8703
2023-08-31,109.9189
2023-09-30,106.9218
2023-10-31,106.6895
2023-11-30,107.7547
2023-12-31,108.6877
2024-01-31,108.6000
2024-02-29,110.9726
2024-03-31,109.4560
2024-04-30,105.7838
2024-05-31,101.7218
2024-06-30,100.1323
2024-07-31,98.7345
2024-08-31,97.7327
2024-09-30,98.0063
2024-10-31,95.5761
2024-11-30,96.8119
2024-12-31,97.0516
