date,price
2015-01-31,881.5904
2015-02-28,832.8462
2015-03-31,807.7126
2015-04-30,882.0349
2015-05-31,906.3717
2015-06-30,791.4136
2015-07-31,719.3369
2015-08-31,762.6213
2015-09-30,736.7246
2015-10-31,816.7025
2015-11-30,814.4541
2015-12-31,815.2991
2016-01-31,824.5182
2016-02-29,823.3574
2016-03-31,879.1440
2016-04-30,901.1753
2016-05-31,916.9115
2016-06-30,875.2163
2016-07-31,843.8319
2016-08-31,874.2017
2016-09-30,901.8790
2016-10-31,896.7578
2016-11-30,859.5490
2016-12-31,828.2111
2017-01-31,803.8897
2017-02-28,689.1503
2017-03-31,759.3122
2017-04-30,774.7033
2017-05-31,789.1295
2017-06-30,815.2943
2017-07-31,808.6048
2017-08-31,890.3941
2017-09-30,911.7331
2017-10-31,912.7576
2017-11-30,862.5710
2017-12-31,921.3715
2018-01-31,1066.9334
2018-02-28,1088.2148
2018-03-31,1030.2186
2018-04-30,1050.3182
2018-05-31,1078.7153
2018-06-30,1056.6885
2018-07-31,1030.4367
2018-08-31,1087.5252
2018-09-30,1096.5178
2018-10-31,1090.0101
2018-11-30,1150.8068
2018-12-31,1162.3550
2019-01-31,1080.6475
2019-02-28,1031.9669
2019-03-31,1138.0233
2019-04-30,1089.2842
2019-05-31,1170.3979
2019-06-30,1126.3742
2019-07-31,1013.6366
2019-08-31,1033.7861
2019-09-30,1133.1872
2019-10-31,1059.1475
2019-11-30,1137.8388
2019-12-31,1192.1089
2020-01-31,1292.2219
2020-02-29,1156.1698
2020-03-31,1094.1799
2020-04-30,1079.2096
2020-05-31,1152.0210
2020-06-30,1125.6107
2020-07-31,1283.7338
2020-08-31,1318.0241
2020-09-30,1410.9827
2020-10-31,1417.0289
2020-11-30,1480.1486
2020-12-31,1656.0868
2021-01-31,1707.6149
2021-02-28,1635.3499
2021-03-31,1699.3009
2021-04-30,1741.7642
2021-05-31,1723.6221
2021-06-30,1446.5367
2021-07-31,1437.4316
2021-08-31,1442.7148
2021-09-30,1392.6816
2021-10-31,1284.3768
2021-11-30,1214.1785
2021-12-31,1143.7677
2022-01-31,1135.9550
2022-02-28,1056.4964
2022-03-31,999.4072
2022-04-30,1047.0056
2022-05-31,1037.6857
2022-06-30,1013.6143
2022-07-31,1017.0355
2022-08-31,1063.8085
2022-09-30,1115.5486
2022-10-31,1119.2809
2022-11-30,1080.4909
2022-12-31,1111.0190
2023-01-31,1019.2213
2023-02-28,1016.3249
2023-03-31,1020.2407
2023-04-30,1031.3031
2023-05-31,1121.3065
2023-06-30,1184.4955
2023-07-31,1022.8937
2023-08-31,1072.4621
2023-09-30,1047.4656
2023-10-31,1095.7142
2023-11-30,1087.1184
2023-12-31,1071.7861
2024-01-31,1095.2222
2024-02-29,1130.7981
2024-03-31,1110.9126
2024-04-30,1160.9235
2024-05-31,1244.1471
2024-06-30,1346.7326
2024-07-31,1450.7489
2024-08-31,1495.8691
2024-09-30,1417.6621
2024-10-31,1272.8509
2024-11-30,1426.4989
2024-12-31,1455.0046
